"pod","bodega","descricao","ano","region","tipo","uvas","falta_nota_cata","falta_card_criticos","nota_cata","card_criticos"
"POD018756","Oxer Bastegieta","","2023","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD008838","Palacios Remondo","","2022","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016949","Contador","","2023","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018620","Remelluri","","2022","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Garnacha Blanca"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""},{""nome"":""Roussanne"",""pct"":null,""confianza"":""alta""},{""nome"":""Marsanne"",""pct"":null,""confianza"":""alta""},{""nome"":""Sauvignon Blanc"",""pct"":null,""confianza"":""alta""},{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD003990","Remirez de Ganuza","","2016","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015771","Roda","","2021","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012656","Sierra Cantabria","","2010","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017869","Artuke","","2023","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015112","López de Heredia","","2013","Rioja","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Viura"",""pct"":null,""confianza"":""alta""},{""nome"":""Malvasía"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018346","Ceritas Winery","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012659","Eisele Vineyard","","2021","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Sauvignon Blanc"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017494","Kistler","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017555","Kongsgaard","","2020","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018348","Kongsgaard","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018351","Mayacamas","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016490","Racines Wine","","2019","Estados Unidos (California)","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD016397","Racines Wine","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016398","Racines Wine","","2020","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016399","Racines","","2022","Estados Unidos (California)","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD016403","Racines Wine","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017498","Sandhi","","2022","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015787","Screaming Eagle","","2020","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Sauvignon Blanc"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017790","Sine Qua Non","","2021","California","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Roussanne"",""pct"":null,""confianza"":""alta""},{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""},{""nome"":""Viognier"",""pct"":null,""confianza"":""alta""},{""nome"":""Garnacha Blanca"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017491","Evening Land","","2022","Oregón","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017492","Evening Land","","2022","Oregón","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD014102","Evening Land","","2022","Oregón","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017493","Evening Land","","2022","Oregón","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015678","Schieferkopf","","2016","Alsacia","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Riesling"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017256","Trimbach","","2018","Alsacia","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Riesling"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012872","Trimbach","","2017","França (Alsácia)","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Riesling"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD_TEMP_1000","Philippe Brand","","CVC","Alsacia","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Riesling"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015938","Domaine Arnaud Ente","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD016874","Arnaud Ente","","2016","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015939","Arnaud Ente","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011380","Arnaud Ente","","2019","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016877","Arnaud Ente","","2019","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016878","Domaine Arnaud Ente","","2019","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD015947","Benoit Ente","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010016","Benoit Ente","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011396","Benoit Ente","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010015","Benoit Ente","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011395","Benoit Ente","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017224","Bessin-Tremblay","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012444","Bessin-Tremblay","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018777","Bessin-Tremblay","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017225","Bessin-Tremblay","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012446","Bessin-Tremblay","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018779","Bessin-Tremblay","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013313","Billaud-Simon","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012534","Billaud-Simon","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019207","Billaud-Simon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012535","Billaud-Simon","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012612","Billaud-Simon","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013311","Billaud-Simon","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015933","Bernard Bonin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD010019","Bernard Bonin","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011385","Bernard Bonin","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017046","Bernard Bonin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017044","Bernard Bonin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD017043","Bernard Bonin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017045","Bernard Bonin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD011244","Bonneau du Martray","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017227","Bruno Colin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018785","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018783","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018784","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012462","Bruno Colin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018781","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018787","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018786","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018782","Bruno Colin","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013307","Chandon de Briailles","","2022","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD019235","Château de Fuissé","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD012397","Jean Chartron","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013341","Château Chamirey","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013339","Château Fuissé","","2022","França (Borgoña)","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""estimada""}]","sim","sim","",""
"POD017379","Comtesse de Cherisey","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017381","Comtesse de Cherisey","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD009414","Comtesse de Cherisey","","2019","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010547","Comtesse de Cherisey","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD010548","Comtesse de Cherisey","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018473","Coche-Dury","","2014","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016413","Coche-Dury","","2016","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015951","Coche-Dury","","2017","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018059","Coche-Dury","","2019","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018060","Coche-Dury","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013433","Comte Georges de Vögué","","2021","Borgoña","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016634","Domaine de la Vougeraie","","2014","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017094","Vincent Dauvissat","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017075","Vincent Dauvissat","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017093","Vincent Dauvissat","","2019","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018479","Vincent Dauvissat","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018476","Vincent Dauvissat","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018477","Vincent Dauvissat","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018478","Vincent Dauvissat","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD016404","Domaine de Montille","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019090","Domaine de Montille","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019088","Domaine de Montille","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD011639","Aubert et Pamèla De Villaine","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013287","Joseph Drouhin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD009581","Joseph Drouhin","","2020","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013286","Joseph Drouhin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD015497","Joseph Drouhin","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD013288","Joseph Drouhin","","2022","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019342","François Carillon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019241","François Carillon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019243","François Carillon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019234","François Carillon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019236","François Carillon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD019346","François Carillon","","2023","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017895","Fleurot-Larose","","2021","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD017894","Fleurot-Larose","","2018","Borgoña","{""codigo"":""BL"",""nombre"":""Blanco""}","[{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD_TEMP_1012","Domaine Les Deux Fleches","","2022","Beaujolais","{""codigo"":""TO"",""nombre"":""Tinto""}","[{""nome"":""Gamay"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango, ervas. Boca: fresco mineral. (Nota: tinto listado como BL no original – mantive). Beba agora-2028.|WA: N/A|Peñín: N/A",""
"crear","Ordoñez","","2023","Málaga","{""codigo"":""DU"",""nombre"":""Dulce""}","[{""nome"":""Pedro Ximénez"",""pct"":null,""confianza"":""alta""},{""nome"":""Moscatel"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD_TEMP_1033","Oremus","","2014","Tokaji-Hegyalja","{""codigo"":""DU"",""nombre"":""Dulce""}","[{""nome"":""Furmint"",""pct"":null,""confianza"":""alta""},{""nome"":""Hárslevelű"",""pct"":null,""confianza"":""alta""},{""nome"":""Sárga Muskotály"",""pct"":null,""confianza"":""alta""}]","sim","sim","",""
"POD018988","Jacquesson","","NV","Champagne","{""codigo"":""ESP"",""nombre"":""Espumoso""}","[{""nome"":""Pinot Noir"",""pct"":null,""confianza"":""alta""},{""nome"":""Chardonnay"",""pct"":null,""confianza"":""alta""},{""nome"":""Pinot Meunier"",""pct"":null,""confianza"":""alta""}]","nao","sim","Nariz: morango, brioche, mineral. Boca: cremoso tenso. Champagne top. Beba agora-2028.|WA: N/A|Peñín: N/A",""
