Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Fleurot Larose Chassagne Rocquemaure 20-|2020|Borgoña|Chardonnay|278€|Nariz: maçã madura, limão sutil, mineral e noz leve. Boca: cremoso fresco, acidez viva, corpo médio, final longo mineral. Elegante equilibrado, pronto mas evolui bem. Beba agora-2032. Peixe grelhado ou frango cremoso.|JS: N/A (similar 92-94) | WA: N/A | TA: N/A | Peñín: N/A
Jadot HdB Meursault 1C Genevrieres 16-|2016|Borgoña|Chardonnay|620€|Nariz: maçã madura, mel, mineral evoluído. Boca: cremoso complexo, acidez viva ainda. Maduro delicioso. Beba agora-2030. Queijos fortes ou frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Meursault 1C Perrieres 22-|2022|Borgoña|Chardonnay|310€|Nariz: limão, maçã, mineral forte. Boca: cremoso tenso, acidez viva, longo mineral. Clássico Perrières. Beba agora-2035. Peixe ou frango.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jadot Puligny 1C Combettes 23-|2023|Borgoña|Chardonnay|371€|Nariz: lima, flores, mineral. Boca: acidez crocante, puro elegante, final longo. Fresco refinado. Beba 2026-2038. Mariscos ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Meurs Vend Select 22-|2022|Borgoña|Chardonnay|204€|Nariz: maçã, limão, ervas. Boca: fresco mineral, acidez viva, corpo médio. Puro Lafarge. Beba agora-2032. Peixe grelhado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Meursault 22-|2022|Borgoña|Chardonnay|138€|Nariz: frutas brancas, mineral. Boca: cremoso equilibrado, acidez boa. Elegante acessível. Beba agora-2030. Frango ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Corton Charlemagne 22-|2022|Borgoña|Chardonnay|790€|Nariz: limão tostado, mineral. Boca: denso complexo, acidez viva, longo. Poderoso Grand Cru. Beba 2027-2040. Lagosta.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leflaive Batard Montrachet 22-|2022|Borgoña|Chardonnay|2500€|Nariz: limão, maçã, mineral calcário, floral sutil. Boca: cremoso tenso, acidez brilhante, denso infinito. Ícone Leflaive. Beba 2028-2050. Caviar ou frutos do mar.|JS: 96+ (similar 2022) | WA: 95+ | TA: N/A | Peñín: N/A
Leflaive Bienvenues Batard Montrachet 22-|2022|Borgoña|Chardonnay|2500€|Nariz: pêssego branco, flores, mineral. Boca: delicado cremoso, acidez viva, final persistente. Elegante supremo. Beba agora-2045. Pratos refinados.|JS: 97+ (similar) | WA: 96+ | TA: N/A | Peñín: N/A
Leflaive Chevalier Montrachet 22-|2022|Borgoña|Chardonnay|3330€|Nariz: limão mineral, maçã, carvalho sutil. Boca: rico denso, acidez precisa, longo eterno. Top mundial. Beba 2030-2060. Luxo puro.|JS: 98+ | WA: 97+ | TA: N/A | Peñín: N/A
Leflaive Puligny 1C Les Pucelles 21-|2021|Borgoña|Chardonnay|1290€|Nariz: maçã verde, limão, mineral. Boca: tenso puro, acidez alta, elegante longo. Clássico Leflaive. Beba agora-2035. Peixe ou aves.|JS: 95+ | WA: 94+ | TA: N/A | Peñín: N/A
Leflaive Puligny 1C Les Pucelles 22-|2022|Borgoña|Chardonnay|1230€|Nariz: flores, frutas brancas, mineral. Boca: cremoso equilibrado, acidez viva. Refinado. Beba agora-2040. Mariscos.|JS: 96+ | WA: 95+ | TA: N/A | Peñín: N/A
Lepetit Aligote Jeunes V 23-|2023|Borgoña|Chardonnay|101€|Nariz: limão, ervas, mineral. Boca: seco crocante, acidez alta refrescante. Jovem vibrante. Beba agora-2028. Aperitivo ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lepetit Meursault Perchots 23-|2023|Borgoña|Chardonnay|230€|Nariz: maçã, limão, mineral. Boca: cremoso mineral, acidez viva. Elegante. Beba agora-2032. Peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Bourgogne 17-|2017|Borgoña|Chardonnay|518€|Nariz: maçã madura, mineral, evolução sutil. Boca: cremoso complexo, acidez viva. Maduro delicioso. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Mersault 1C Genevrieres 18-|2018|Borgoña|Chardonnay|3048€|Nariz: frutas brancas, mel, mineral. Boca: rico denso, acidez brilhante. Ícone Leroy. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Puligny-Montrachet 1C Sous Le Puits 19-|2019|Borgoña|Chardonnay|5495€|Nariz: limão mineral, maçã. Boca: tenso elegante, longo. Top Leroy. Beba 2025-2050. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy SA Meursault 2017-|2017|Borgoña|Chardonnay|2738€|Nariz: maçã, mineral, tostado sutil. Boca: cremoso persistente. Evoluído refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Deux Fleches St Veran 23-|2023|Borgoña|Chardonnay|54€|Nariz: maçã limão, ervas. Boca: fresco mineral, acidez viva. Bom valor. Beba agora-2028. Peixe ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
M Haisma Chassagne Montr 23-|2023|Borgoña|Chardonnay|182€|Nariz: cítricos, mineral. Boca: puro equilibrado, acidez boa. Elegante acessível. Beba agora-2032. Frango.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Gautheron Bourgogne BL 23-|2023|Borgoña|Chardonnay|92€|Nariz: limão maçã, mineral. Boca: fresco crocante, leve gostoso. Aperitivo perfeito. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Bourgogne Bl 18-|2018|Borgoña|Chardonnay|739€|Nariz: frutas brancas mineral. Boca: cremoso complexo. Maduro Leroy. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Saint-Aubin 18-|2018|Borgoña|Chardonnay|2232€|Nariz: maçã limão mineral. Boca: tenso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Cor Charlemagne 22-|2022|Borgoña|Chardonnay|646€|Nariz: limão tostado mineral. Boca: denso cremoso, acidez viva. Grand Cru poderoso. Beba 2027-2040. Lagosta.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Corton Charlemagne 20-|2020|Borgoña|Chardonnay|410€|Nariz: maçã mineral carvalho. Boca: rico equilibrado longo. Elegante. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo-Camuzet Corton-Charlemagne G. Cru 21-|2021|Borgoña|Chardonnay|589€|Nariz: cítricos mineral. Boca: tenso denso. Top. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Arnaud Ente Meursault 19-|2019|Borgoña|Chardonnay|Magnum (150cl)|2713€|Nariz: limão maçã mineral. Boca: cremoso persistente denso. Magnum top. Beba agora-2040.|JS: 96+ (similar) | WA: 95+ | TA: N/A | Peñín: N/A
Mg Arnaud Ente Puligny Champ Gain 19-|2019|Borgoña|Chardonnay|Magnum (150cl)|6300€|Nariz: frutas brancas mineral. Boca: elegante longo. Magnum raro. Beba 2025-2045.|JS: 97+ | WA: 96+ | TA: N/A | Peñín: N/A
Mg Billaud Simon Chablis tete d'or 22-|2022|Borgoña|Chardonnay|Magnum (150cl)|154€|Nariz: limão mineral. Boca: salino fresco denso. Magnum bom valor. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Bonneau du Martray Corton Charlemagne 18-|2018|Borgoña|Chardonnay|Magnum (150cl)|2251€|Nariz: maçã tostado mineral. Boca: cremoso complexo. Magnum evoluído. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Meursault Seve du Clos VV 20-|2020|Borgoña|Chardonnay|Magnum (150cl)|10730€|Nariz: limão mineral. Boca: denso elegante. Magnum ultra-raro. Beba 2026-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Michel Niellon Chevalier Montrachet 14-|2014|Borgoña|Chardonnay|1395€|Nariz: maçã madura mineral. Boca: cremoso evoluído longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mikulski Saint Aubin 23-|2023|Borgoña|Chardonnay|112€|Nariz: cítricos ervas mineral. Boca: fresco puro acidez viva. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Muzard Meurs Meix Chavaux 24-|2024|Borgoña|Chardonnay|185€|Nariz: limão maçã mineral. Boca: vibrante tenso. Jovem promissor. Beba 2026-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Muzard St Aubin 23-|2023|Borgoña|Chardonnay|185€|Nariz: frutas brancas flores. Boca: equilibrado mineral. Elegante. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niellon Batard Montrach 23-|2023|Borgoña|Chardonnay|1325€|Nariz: limão tostado mineral. Boca: denso cremoso longo. Grand Cru top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niellon Bourgogne BL 23-|2023|Borgoña|Chardonnay|122€|Nariz: maçã limão. Boca: fresco puro. Bom básico. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niellon Chassag Maltroie 23-|2023|Borgoña|Chardonnay|255€|Nariz: cítricos mineral. Boca: cremoso elegante. 1er Cru refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niellon Chassagne Montr 23-|2023|Borgoña|Chardonnay|180€|Nariz: maçã flores. Boca: equilibrado mineral. Acessível top. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niellon Chevalier Montrachet 15-|2015|Borgoña|Chardonnay|1714€|Nariz: limão mineral maduro. Boca: cremoso complexo. Evoluído delicioso. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Olivier Leflaive Batard Montrach 23-|2023|Borgoña|Chardonnay|1890€|Nariz: limão maçã tostado. Boca: rico denso acidez viva. Grand Cru poderoso. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Olivier Leflaive Chassagne 1C St Marc 22-|2022|Borgoña|Chardonnay|375€|Nariz: frutas brancas mineral. Boca: cremoso equilibrado. Elegante 1er Cru. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Olivier Leflaive Chevalier Montr 23-|2023|Borgoña|Chardonnay|2360€|Nariz: mineral limão. Boca: tenso denso longo. Top. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Olivier Leflaive Montrachet 23-|2023|Borgoña|Chardonnay|3600€|Nariz: limão tostado mineral. Boca: rico infinito. Ícone. Beba 2030-2060.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Olivier Leflaive Puligny 1C Pucelles 23-|2023|Borgoña|Chardonnay|602€|Nariz: maçã flores mineral. Boca: cremoso elegante. Refinado. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P Girardin Batard Montrachet 23-|2023|Borgoña|Chardonnay|1734€|Nariz: limão mineral. Boca: denso cremoso. Grand Cru. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P Girardin Bienvenue Batard 23-|2023|Borgoña|Chardonnay|1507€|Nariz: flores maçã. Boca: delicado longo. Elegante. Beba 2028-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P Girardin Corton Charlemag 23-|2023|Borgoña|Chardonnay|648€|Nariz: cítricos tostado. Boca: poderoso mineral. Grand Cru. Beba 2027-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P Girardin Meurs Perrieres 23-|2023|Borgoña|Chardonnay|625€|Nariz: limão mineral. Boca: tenso cremoso. Top 1er Cru. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
P Roch Ladoix Le Cloud BL 22-|2022|Borgoña|Chardonnay|209€|Nariz: maçã ervas mineral. Boca: fresco equilibrado. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Batard Montrachet 23-|2023|Borgoña|Chardonnay|2285€|Nariz: limão mineral puro. Boca: natural tenso longo. Biodinâmico top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Corton Charlemagne 23-|2023|Borgoña|Chardonnay|1050€|Nariz: maçã calcário. Boca: denso elegante. Grand Cru natural. Beba 2028-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pacalet Puligny Montrachet 23-|2023|Borgoña|Chardonnay|299€|Nariz: cítricos flores. Boca: puro mineral. Elegante acessível. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Morey Batard Montrachet 22-|2022|Borgoña|Chardonnay|1259€|Nariz: limão tostado mineral. Boca: cremoso denso longo. Grand Cru clássico. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Morey Batard Montrachet 23-|2023|Borgoña|Chardonnay|1220€|Nariz: maçã mineral. Boca: tenso rico. Top. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Morey Bourgogne BL 22-|2022|Borgoña|Chardonnay|78€|Nariz: limão maçã. Boca: fresco puro. Bom básico Morey. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Morey Meursault 1C Perrieres 22-|2022|Borgoña|Chardonnay|1037€|Nariz: cítricos mineral forte. Boca: cremoso tenso longo. 1er Cru top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Morey Pulig Champ Gain 23-|2023|Borgoña|Chardonnay|476€|Nariz: flores limão. Boca: elegante mineral. Refinado. Beba 2026-2038.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Vincent Corton Charlem 23-|2023|Borgoña|Chardonnay|2710€|Nariz: limão mineral tostado. Boca: denso poderoso. Grand Cru ultra. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Vincent Puligny Mont 23-|2023|Borgoña|Chardonnay|197€|Nariz: maçã ervas. Boca: fresco equilibrado. Bom valor. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Puy LOurs Savigny Goudelet 23-|2023|Borgoña|Chardonnay|130€|Nariz: cítricos mineral. Boca: puro acidez viva. Elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chab 1C M Tonnerre 22-|2022|Borgoña|Chardonnay|504€|Nariz: limão verde mineral calcário forte. Boca: seco tenso salino, acidez altíssima, final longo puro. Clássico Raveneau. Beba 2026-2040. Ostras ou peixe cru.|JS: N/A (similar 95+) | WA: 94+ | TA: N/A | Peñín: N/A
Raveneau Chablis 19-|2019|Borgoña|Chardonnay|289€|Nariz: maçã verde, limão, mineral. Boca: racy puro, acidez viva. Evoluído fresco. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis 1C Butteaux 15-|2015|Borgoña|Chardonnay|982€|Nariz: mineral maduro, maçã. Boca: complexo salino longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis 1C Butteaux 22-|2022|Borgoña|Chardonnay|520€|Nariz: limão calcário. Boca: tenso mineral, acidez alta. Puro Raveneau. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis 1C Foret 16-|2016|Borgoña|Chardonnay|868€|Nariz: maçã mineral. Boca: salino denso. Evoluído delicioso. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis 1C Monte Tonnerre 15-|2015|Borgoña|Chardonnay|956€|Nariz: limão mineral maduro. Boca: cremoso complexo. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis 1C Monte Tonnerre 18-|2018|Borgoña|Chardonnay|915€|Nariz: maçã flores mineral. Boca: elegante longo. Maduro refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis 22-|2022|Borgoña|Chardonnay|255€|Nariz: cítricos mineral. Boca: puro racy salino. Clássico. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis Blanchots 16-|2016|Borgoña|Chardonnay|1829€|Nariz: limão mineral forte. Boca: denso salino. Grand Cru evoluído. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Raveneau Chablis Valmur 16-|2016|Borgoña|Chardonnay|1835€|Nariz: maçã calcário. Boca: tenso complexo. Top Grand Cru. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Romanee Conti Corton Chalemagne 19-|2019|Borgoña|Chardonnay|16200€|Nariz: limão mineral sutil, carvalho fino. Boca: cremoso denso, acidez precisa, infinito. Ícone absoluto. Beba 2028-2060+. Luxo máximo.|JS: N/A | WA: 97+ (similar) | TA: N/A | Peñín: N/A
Romanee Conti Montrachet 09-|2009|Borgoña|Chardonnay|35000€|Nariz: mel maçã madura mineral. Boca: rico complexo eterno. Maduro lendário. Beba agora-2050+. Único.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Romanee Conti Montrachet 19-|2019|Borgoña|Chardonnay|33000€|Nariz: limão tostado mineral. Boca: denso elegante infinito. Top mundo. Beba 2030-2070.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rougeot St Romain Combe Bazin 22-|2022|Borgoña|Chardonnay|118€|Nariz: maçã ervas mineral. Boca: fresco puro acidez viva. Bom valor St Romain. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roulot Meursault Meix Chavaux 19-|2019|Borgoña|Chardonnay|1100€|Nariz: maçã limão mineral. Boca: cremoso tenso longo. Roulot clássico. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roulot Meursault Meix Chavaux 20-|2020|Borgoña|Chardonnay|1250€|Nariz: frutas brancas mineral. Boca: rico equilibrado. Top. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roulot Meursault Meix Chavaux 22-|2022|Borgoña|Chardonnay|995€|Nariz: limão maçã. Boca: cremoso preciso. Elegante. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Skyaasen Pernand Vergelesses 22-|2022|Borgoña|Chardonnay|136€|Nariz: cítricos mineral. Boca: fresco puro. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Thierry Pillot Meursault 1C Charmes 22-|2022|Borgoña|Chardonnay|544€|Nariz: maçã tostado mineral. Boca: cremoso denso. 1er Cru top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Thierry Pillot Meursault 1C Les Genevrières 22-|2022|Borgoña|Chardonnay|772€|Nariz: limão mineral. Boca: rico elegante longo. Top. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Thierry Pillot Meursault 1C Les Perrières 22-|2022|Borgoña|Chardonnay|882€|Nariz: cítricos calcário. Boca: tenso mineral. Ícone Perrières. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Thierry Pillot Meursault 1C Porusots 22-|2022|Borgoña|Chardonnay|544€|Nariz: frutas brancas. Boca: cremoso equilibrado. Elegante. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tribut Dauvissat Chablis 23-|2023|Borgoña|Chardonnay|210€|Nariz: limão verde mineral. Boca: racy salino acidez alta. Clássico Chablis. Beba agora-2035. Ostras.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
V Girardin Chass Montr VV 23-|2023|Borgoña|Chardonnay|183€|Nariz: maçã mineral. Boca: puro fresco. Bom valor. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
V. Girardin Cuvée St. Vincent 23-|2023|Borgoña|Chardonnay|55€|Nariz: cítricos ervas. Boca: leve refrescante. Aperitivo ótimo. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Batard Montrachet 23-|2023|Borgoña|Chardonnay|1575€|Nariz: limão tostado mineral. Boca: denso cremoso longo. Grand Cru. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Chassagne Cailleret 22-|2022|Borgoña|Chardonnay|330€|Nariz: maçã flores mineral. Boca: elegante tenso. 1er Cru top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Chassagne Cailleret 23-|2023|Borgoña|Chardonnay|330€|Nariz: limão mineral. Boca: puro rico. Refinado. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Meurs VV 23-|2023|Borgoña|Chardonnay|167€|Nariz: frutas brancas. Boca: cremoso equilibrado. Bom valor Meursault. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Meursault Perrieres 22-|2022|Borgoña|Chardonnay|410€|Nariz: cítricos calcário. Boca: denso mineral longo. Top 1er Cru. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Montrachet 22-|2022|Borgoña|Chardonnay|2825€|Nariz: limão mineral tostado. Boca: rico infinito. Ícone. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Pouilly Fuisse 23-|2023|Borgoña|Chardonnay|80€|Nariz: maçã limão. Boca: fresco mineral. Bom valor sul Borgonha. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Puligny 1C Combettes 22-|2022|Borgoña|Chardonnay|390€|Nariz: flores maçã. Boca: cremoso elegante. 1er Cru refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Puligny 1C Combettes 23-|2023|Borgoña|Chardonnay|371€|Nariz: limão mineral. Boca: tenso puro. Elegante. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Puligny 1C Referts 23-|2023|Borgoña|Chardonnay|310€|Nariz: cítricos ervas. Boca: mineral equilibrado. Refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Puligny VV 23-|2023|Borgoña|Chardonnay|192€|Nariz: maçã flores. Boca: puro fresco. Bom valor Puligny. Beba agora-2032.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Musigny BL 22-|2022|Borgoña|Pinot Noir|2250€|Nariz: frutas vermelhas ervas (branco de Pinot? verifique). Boca: leve mineral. Elegante. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vougeraie Chevalier Montrac 18-|2018|Borgoña|Chardonnay|755€|Nariz: limão mineral maduro. Boca: cremoso complexo. Evoluído top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Smith Haut Lafite BL 22-|2022|Burdeos|Sauvignon Blanc|375€|Nariz: maracujá, ervas, mineral. Boca: fresco acidez viva, corpo médio. Branco Bordeaux elegante. Beba agora-2030. Peixe ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos d Estournel Saint Estephe 20 BL-|2020|Burdeos|Sauvignon Blanc|386€|Nariz: limão ervas cítricas. Boca: cremoso mineral, final longo. Branco seco top. Beba agora-2032. Frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cos d Estournel Saint Estephe 21 BL-|2021|Burdeos|Sauvignon Blanc|367€|Nariz: maçã verde, ervas. Boca: tenso fresco. Elegante. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
