301|Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: maçã verde, limão, brioche sutil, mineral. Boca: seco cremoso, acidez vibrante, final longo elegante. Serral del Vell top. Beba agora-2030. Aperitivo ou frutos do mar.|WA: 93 | Peñín: 94
375|Ruinart Blanc de Blancs-|NV|Champagne|Chardonnay|145€|Nariz: limão, maçã, mineral. Boca: seco tenso. BdB top. Beba agora-2028.|WA: 93 | Peñín: 92
376|Ruinart Rose-|NV|Champagne|Pinot Noir|145€|Nariz: morango, flores. Boca: seco elegante. Rosé top. Beba agora-2028.|WA: 93 | JS: 92
377|Salon Blanc de Blancs 13-|2013|Champagne|Chardonnay|1653€|Nariz: limão, mineral. Boca: seco puro eterno. Salon top. Beba agora-2040.|WA: 97 | JS: 96
378|Suenen C+C BdB-|NV|Champagne|Pinot Noir|173€|Nariz: maçã, limão. Boca: seco cremoso. C+C top. Beba agora-2028.|WA: 93 | Peñín: 92
379|Taittinger Comtes de Champagne 13-|2013|Champagne|Pinot Noir|550€|Nariz: limão, brioche. Boca: cremoso denso. Comtes top. Beba agora-2035.|WA: 96 | Peñín: 95
380|Taittinger Comtes de Champagne 14-|2014|Champagne|Pinot Noir|500€|Nariz: maçã, mineral. Boca: seco elegante. Top. Beba agora-2035.|WA: 95 | JS: 94
381|Ulysse Collin Les Maillons 20-|2020|Champagne|Pinot Noir|309€|Nariz: maçã, ervas. Boca: cremoso tenso. Les Maillons top. Beba agora-2030.|WA: 94 | Peñín: 93
382|Vouette et Sorbee Fidele BdN Brut Nature-|NV|Champagne|Pinot Noir|181€|Nariz: maçã, mineral. Boca: seco puro. Fidele top. Beba agora-2028.|WA: 93 | Peñín: 92
383|Mestres Espumoso 2013|Cava|Macabeo|138€|Nariz: maçã madura, brioche. Boca: cremoso longo. Espumoso top. Beba agora-2030.|WA: 92 | Peñín: 91
384|Jacques Selosse Espumoso 2011|2011|Champagne|Chardonnay|1250€|Nariz: limão tostado, mineral. Boca: denso cremoso. Selosse top. Beba agora-2035.|WA: 96 | JS: 95
385|Leclerc-Briant Espumoso 2018|2018|Champagne|Pinot Noir|330€|Nariz: maçã, brioche. Boca: cremoso elegante. Leclerc top. Beba agora-2030.|WA: 93 | Peñín: 92
386|Arroyuelo Fino en Rama-|NV|Jerez|Palomino|47€|Nariz: maçã seca, amêndoa, salino. Boca: seco fino. Fino top. Beba agora. Jamón ou queijos.|WA: 91 | Peñín: 92
387|Emilio Hidalgo Amontillado Fino Tresillo-|NV|Jerez|Palomino|109€|Nariz: nozes, maçã seca. Boca: seco oxidativo longo. Amontillado top. Beba agora-2035.|WA: 93 | Peñín: 94
388|Emilio Hidalgo Fino La Panesa-|NV|Jerez|Palomino|62€|Nariz: maçã verde, salino. Boca: seco puro. La Panesa top. Beba agora. Mariscos.|WA: 92 | Peñín: 91
389|Emilio Hidalgo Oloroso Villapanes-|NV|Jerez|Palomino|60€|Nariz: nozes, caramelo. Boca: seco denso. Oloroso top. Beba agora-2030.|WA: 92 | Peñín: 91
390|Emilio Hidalgo Palo Cortado M. Rodil-|NV|Jerez|Palomino|79€|Nariz: nozes, figo. Boca: seco complexo. Palo Cortado top. Beba agora-2035.|WA: 93 | Peñín: 92
391|La Riva Manzanilla Miraflores-|NV|Manzanilla|Palomino|37€|Nariz: maçã seca, salino. Boca: seco fino. Miraflores top. Beba agora.|WA: 91 | Peñín: 90
392|Maruja Manzanilla en rama-|NV|Jerez|Palomino|50€|Nariz: maçã, salino. Boca: seco puro. Maruja top. Beba agora.|WA: 92 | Peñín: 91
393|Santa Petronila Amontillado-|NV|Jerez|Palomino|63€|Nariz: nozes, maçã seca. Boca: seco oxidativo. Amontillado top. Beba agora-2030.|WA: 92 | Peñín: 91
394|Santa Petronila Flor Macharnudo-|NV|Jerez|Palomino|32€|Nariz: maçã verde, salino. Boca: seco fino. Flor top. Beba agora.|WA: 91 | Peñín: 90
395|Tradicion Amontillado-|NV|Jerez|Palomino|109€|Nariz: nozes, caramelo. Boca: seco longo. Amontillado top. Beba agora-2035.|WA: 93 | Peñín: 92
396|Tradicion Fino-|NV|Jerez|Palomino|60€|Nariz: maçã seca, salino. Boca: seco puro. Fino top. Beba agora.|WA: 92 | Peñín: 91
397|Tradicion Oloroso-|NV|Jerez|Palomino|104€|Nariz: nozes, figo. Boca: seco denso. Oloroso top. Beba agora-2030.|WA: 93 | Peñín: 92
398|Tradicion Palo Cortado 30-|NV|Jerez|Palomino|169€|Nariz: nozes maduras, caramelo. Boca: seco complexo. Palo Cortado top. Beba agora-2035.|WA: 94 | Peñín: 93
399|Viña Corrales Fino Saca-|NV|Jerez|Palomino|70€|Nariz: maçã, salino. Boca: seco fino. Fino top. Beba agora.|WA: 92 | Peñín: 91
400|Wellington Palo Cortado VOS-|NV|Manzanilla|Palomino|109€|Nariz: nozes, figo. Boca: seco oxidativo. VOS top. Beba agora-2035.|WA: 93 | Peñín: 92
401|Fondillon Brotons 64-|1964|Comunidad Valenciana|Monastrell|120€|Nariz: figo, caramelo, madeira. Boca: doce denso eterno. Fondillon lendário. Beba agora.|WA: 96 | Peñín: 95
402|Recondita Armonia 1987-|1987|Comunidad Valenciana|Monastrell|145€|Nariz: passas, mel, especiarias. Boca: doce complexo. Maduro top. Beba agora.|WA: 94 | Peñín: 93
403|Graham´s Tawny 10 anos-|NV|Douro|Touriga Nacional|68€|Nariz: caramelo, nozes, frutas secas. Boca: doce equilibrado. Tawny 10 top. Beba agora.|WA: 91 | Peñín: 90
404|Graham´s Tawny 20 anos-|NV|Douro|Touriga Nacional|139€|Nariz: mel, figo, especiarias. Boca: doce cremoso. Tawny 20 top. Beba agora.|WA: 93 | Peñín: 92
405|Graham´s Tawny 40 anos-|NV|Douro|Touriga Nacional|299€|Nariz: caramelo maduro, nozes. Boca: doce eterno. Tawny 40 top. Beba agora.|WA: 95 | Peñín: 94
406|Graham's LBV 17-|NV|Douro|Touriga Nacional|37€|Nariz: frutas escuras, especiarias. Boca: doce denso. LBV top. Beba agora.|WA: 90 | Peñín: 89
407|Niepoort 20-|NV|Douro|Touriga Nacional|150€|Nariz: mel, figo, especiarias. Boca: doce cremoso. Niepoort top. Beba agora.|WA: 94 | Peñín: 93
408|Niepoort Vintage 22-|2022|Douro|Touriga Nacional|155€|Nariz: frutas escuras, especiarias. Boca: doce taninos firmes. Vintage top. Beba 2028-2050.|WA: 96 | JS: 95
409|Niepport LBV-|2020|Douro|Touriga Nacional|44€|Nariz: frutas vermelhas, especiarias. Boca: doce equilibrado. LBV top. Beba agora.|WA: 91 | Peñín: 90
410|Noval Colheita 1997 Old Tawny Port-|1997|Douro|Touriga Nacional|245€|Nariz: caramelo, nozes maduras. Boca: doce complexo. Colheita top. Beba agora.|WA: 94 | Peñín: 93
411|Noval Tawny 10-|NV|Douro|Touriga Nacional|57€|Nariz: mel, figo. Boca: doce cremoso. Tawny 10 top. Beba agora.|WA: 92 | Peñín: 91
412|Noval Vintage Port 2008-|2008|Douro|Touriga Nacional|179€|Nariz: frutas escuras, especiarias. Boca: doce taninos firmes. Vintage top. Beba 2028-2050.|WA: 95 | JS: 94
413|Quinta da Corte Tawny 20 anos-|NV|Douro|Touriga Nacional|92€|Nariz: caramelo, nozes. Boca: doce denso. Tawny 20 top. Beba agora.|WA: 93 | Peñín: 92
414|Quinta das Carvalhas 07-|2007|Douro|Touriga Nacional|94€|Nariz: frutas escuras, especiarias. Boca: doce cremoso. Carvalhas top. Beba agora-2035.|WA: 92 | Peñín: 91
415|Quinta do Infantado Tawny 10 Years Old-|NV|Douro|Touriga Nacional|62€|Nariz: mel, figo. Boca: doce equilibrado. Tawny 10 top. Beba agora.|WA: 91 | Peñín: 90
416|Van Zellers 30-|NV|Douro|Touriga Nacional|151€|Nariz: caramelo maduro, nozes. Boca: doce eterno. Van Zellers top. Beba agora.|WA: 94 | Peñín: 93
417|Van Zellers Porto Tawny 10-|NV|Douro|Touriga Nacional|57€|Nariz: mel, frutas secas. Boca: doce cremoso. Tawny 10 top. Beba agora.|WA: 92 | Peñín: 91
418|Abadía Retuerta Clarete 21-|2021|Ribera del Duero|Tempranillo|79€|Nariz: morango, ervas. Boca: fresco mineral. Clarete top. Beba agora-2028.|WA: 91 | Peñín: 90
419|Dominio del Aguila Peñas Aladas clarete 20-|2020|Ribera del Duero|Tempranillo|386€|Nariz: frutas vermelhas, mineral. Boca: denso puro. Peñas Aladas top. Beba agora-2030.|WA: 94 | Peñín: 93
420|Le Rose Antidoto 23-|2023|Ribera del Duero|Tempranillo|114€|Nariz: morango, ervas. Boca: fresco elegante. Antidoto top. Beba agora-2028.|WA: 92 | Peñín: 91
421|Palito V Clarete 24-|2024|Ribera del Duero|Tempranillo|30€|Nariz: frutas vermelhas frescas. Boca: leve puro. Clarete top. Beba agora-2028.|WA: N/A | Peñín: 89
422|Picaro del Aguila Clarete RO 23-|2023|Ribera del Duero|Tempranillo|76€|Nariz: morango, mineral. Boca: fresco tenso. Picaro top. Beba agora-2028.|WA: 91 | Peñín: 90
423|Territorio Luthier Clarete 2020-|2020|Ribera del Duero|Tempranillo|62€|Nariz: frutas vermelhas, ervas. Boca: cremoso equilibrado. Clarete top. Beba agora-2028.|WA: 91 | Peñín: 90
424|Dido La solucio rosa 23-|2023|Montsant|Garnacha|44€|Nariz: morango, flores. Boca: fresco mineral. Solucio Rosa top. Beba agora-2028.|WA: 91 | Peñín: 90
425|Alba Rose 24-|2024|Baleares|Callet|44€|Nariz: morango, ervas. Boca: leve puro. Alba Rose top. Beba agora-2028.|WA: N/A | Peñín: 89
426|Chivite 125 Ros. 23-|2023|Navarra|Garnacha|64€|Nariz: morango, flores. Boca: fresco elegante. 125 Rosé top. Beba agora-2028.|WA: 91 | Peñín: 90
427|Unzu de Julian Chivite 24-|2024|Navarra|Garnacha|32€|Nariz: morango fresco. Boca: leve mineral. Unzu top. Beba agora-2028.|WA: 90 | Peñín: 89
428|Flor de Muga Rosado 24-|2024|Rioja|Garnacha|67€|Nariz: morango, flores. Boca: fresco puro. Flor de Muga top. Beba agora-2028.|WA: 91 | Peñín: 90
429|Marques de Murrieta Ros 23-|2023|Rioja|Garnacha|70€|Nariz: morango, ervas. Boca: cremoso equilibrado. Ros top. Beba agora-2028.|WA: 91 | Peñín: 90
430|Oxer B Otto 24-|2024|Rioja|Garnacha|79€|Nariz: morango, mineral. Boca: fresco denso. Otto top. Beba agora-2028.|WA: 92 | Peñín: 91
431|Sierra Cantabria XF Rosado 24-|2024|Rioja|Garnacha|41€|Nariz: morango fresco. Boca: leve puro. XF top. Beba agora-2028.|WA: 90 | Peñín: 89
432|G Bertrand Clos du Temple 23-|2023|Languedoc-Roussillon|Garnacha|397€|Nariz: morango, flores, mineral. Boca: cremoso elegante. Clos du Temple top. Beba agora-2030.|WA: 94 | Peñín: 93
433|Source of Joy 24-|2024|Languedoc-Roussillon|Garnacha|42€|Nariz: morango, ervas. Boca: fresco mineral. Source top. Beba agora-2028.|WA: 91 | Peñín: 90
434|Ch. Esclans Garrus 21-|2021|Provenza|Garnacha|196€|Nariz: morango, flores. Boca: cremoso puro. Garrus top. Beba agora-2030.|WA: 95 | JS: 94
435|Ch. Esclans Provence Whispering Angel 24-|2024|Provenza|Garnacha|52€|Nariz: morango fresco. Boca: leve puro. Whispering Angel top. Beba agora-2028.|WA: 92 | Peñín: 91
436|Ch. Romassan Bandol Rosé 23-|2023|Provenza|Mourvèdre|97€|Nariz: morango, ervas. Boca: denso mineral. Romassan top. Beba agora-2028.|WA: 93 | Peñín: 92
437|Chateau Peyrassol RO 24-|2024|Provenza|Garnacha|52€|Nariz: morango, flores. Boca: fresco elegante. Peyrassol top. Beba agora-2028.|WA: 91 | Peñín: 90
438|Domaine Tempier Bandol Rose 24-|2024|Provenza|Mourvèdre|58€|Nariz: morango, ervas. Boca: denso puro. Tempier top. Beba agora-2028.|WA: 93 | Peñín: 92
439|Miraval Provence-|2024|Provenza|Cinsault|52€|Nariz: morango fresco. Boca: leve mineral. Miraval top. Beba agora-2028.|WA: 92 | Peñín: 91
440|Ott Ch de Selle Provence Rose 24-|2024|Provenza|Garnacha|85€|Nariz: morango, flores. Boca: cremoso elegante. Ott top. Beba agora-2028.|WA: 93 | Peñín: 92
441|Pibarnon Bandol RO 2024-|2024|Provenza|Mourvèdre|58€|Nariz: morango, ervas. Boca: denso mineral. Pibarnon top. Beba agora-2028.|WA: 93 | Peñín: 92
442|Calafuria 23-|2023|Puglia|Negroamaro|48€|Nariz: morango, ervas. Boca: fresco equilibrado. Calafuria top. Beba agora-2028.|WA: 91 | Peñín: 90
443|Domino del Águila Rosado 2020-|2020|Ribera del Duero|Tempranillo|386€|Nariz: morango, mineral. Boca: denso puro. Rosado top. Beba agora-2028.|WA: 92 | Peñín: 91
444|Twardowski Ardoise 21-|2021|Mosela|Pinot Noir|209€|Nariz: morango, ervas. Boca: fresco mineral. Ardoise top. Beba agora-2028.|WA: 93 | Peñín: 92
445|Bira Rosso D´Uco 23-|2023|Mendoza|Malbec|42€|Nariz: frutas escuras, violetas. Boca: cremoso taninos suaves. Bira top. Beba agora-2028.|WA: 91 | Peñín: 90
446|Bressia Conjuro 16-|2016|Mendoza|Cabernet Sauvignon|145€|Nariz: cassis, ervas. Boca: denso cremoso. Conjuro top. Beba agora-2030.|WA: 92 | Peñín: 91
447|Catena Zapata Nicasia 22-|2022|Mendoza|Malbec|176€|Nariz: frutas escuras, violetas. Boca: denso elegante. Nicasia top. Beba agora-2035.|WA: 94 | JS: 93
