Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis mineral maduro, ervas secas, couro sutil. Boca: cremoso taninos polidos, acidez viva, longo elegante. Reserva top madura. Beba agora-2035. Carne grelhada ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Prado Enea)
Racines La Rinconada Pinot Noir 22-|2022|California|Pinot Noir|228€|Nariz: frutas vermelhas ervas. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Racines Santa Rita Hills Pinot Noir 20-|2020|California|Pinot Noir|132€|Nariz: morango mineral. Boca: cremoso elegante. Top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Racines Santa Rita Hills Pinot Noir 22-|2022|California|Pinot Noir|97€|Nariz: cereja flores. Boca: fresco puro. Bom valor. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sandhi Santa Rita Hills TO 22-|2022|California|Pinot Noir|113€|Nariz: morango mineral. Boca: leve tenso. TO top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 07-|2007|California|Cabernet Sauvignon|9575€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 11-|2011|California|Cabernet Sauvignon blend|9675€|Nariz: cassis ervas. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 12-|2012|California|Cabernet Sauvignon blend|8000€|Nariz: cassis mineral. Boca: denso longo. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 13-|2013|California|Cabernet Sauvignon blend|10500€|Nariz: cassis violetas. Boca: denso cremoso. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 18-|2018|California|Cabernet Sauvignon|10425€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 19-|2019|California|Cabernet Sauvignon|10425€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 20-|2020|California|Cabernet Sauvignon|7600€|Nariz: cassis violetas. Boca: denso puro. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle 21-|2021|California|Cabernet Sauvignon|7875€|Nariz: cassis ervas. Boca: cremoso longo. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Screaming Eagle The Flight 20-|2020|California|Cabernet Sauvignon|2390€|Nariz: cassis mineral. Boca: equilibrado elegante. Flight top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Shafer TD-9 21-|2021|California|Merlot|175€|Nariz: frutas vermelhas ervas. Boca: cremoso equilibrado. TD-9 top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non 11 Confessions Grenache 19-|2019|California|Garnacha|1765€|Nariz: frutas vermelhas especiarias. Boca: denso cremoso. SQN top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non 11 Confessions Grenache 20-|2020|California|Garnacha|910€|Nariz: morango mineral. Boca: puro elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non 11 Confessions Syrah 17-|2017|California|Syrah|1109€|Nariz: frutas escuras pimenta. Boca: denso complexo. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non 11 Confessions Syrah 19-|2019|California|Syrah|1765€|Nariz: cassis mineral. Boca: cremoso longo. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non 17th Nail Cranium Syrah 05-|2005|California|Syrah|3550€|Nariz: frutas escuras maduras. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Atlantis Syrah 05-|2005|California|Syrah|1890€|Nariz: cassis mineral maduro. Boca: complexo longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Capo dei Putti Syrah 14-|2014|California|Syrah|1386€|Nariz: frutas escuras pimenta. Boca: denso cremoso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Chemin Vers l'Heresie Gr 15-|2015|California|Garnacha|1500€|Nariz: frutas vermelhas especiarias. Boca: puro mineral. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Cumulus Next of Kyn 17-|2017|California|Garnacha|1375€|Nariz: morango mineral. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Dark Blossom Grenache 11-|2011|California|Garnacha|1575€|Nariz: frutas vermelhas ervas. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Dirt Vernacular Grenache 16-|2016|California|Garnacha|1360€|Nariz: morango mineral. Boca: puro denso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Distenta I Grenache 19-|2019|California|Garnacha|1370€|Nariz: frutas vermelhas especiarias. Boca: cremoso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Distenta I Syrah 19-|2019|California|Syrah|1210€|Nariz: cassis pimenta. Boca: denso cremoso. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Distenta III Syr 21-|2021|California|Syrah|645€|Nariz: frutas escuras mineral. Boca: puro longo. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Gorgeous Victim Grenache 17-|2017|California|Garnacha|1375€|Nariz: morango ervas. Boca: denso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Jusqu A los Grenache 13-|2013|California|Garnacha|1386€|Nariz: frutas vermelhas mineral. Boca: complexo longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Le Suplement Syrah 13-|2013|California|Syrah|1386€|Nariz: cassis pimenta. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Male Syrah 13-|2013|California|Syrah|1465€|Nariz: frutas escuras mineral. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Pajarito del amor Grenache 16-|2016|California|Garnacha|1018€|Nariz: morango mineral. Boca: puro denso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Patine Grenache 11-|2011|California|Garnacha|1000€|Nariz: frutas vermelhas ervas. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Patine Syrah 11-|2011|California|Syrah|1000€|Nariz: cassis mineral. Boca: denso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Pictures Grenache 07-|2007|California|Garnacha|1640€|Nariz: morango mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Rattrapante 12-|2012|California|Syrah|1520€|Nariz: cassis pimenta. Boca: denso cremoso. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Short in the Dark 06-|2006|California|Syrah|2268€|Nariz: frutas escuras mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Stock Syrah 12-|2012|California|Syrah|1440€|Nariz: cassis ervas. Boca: cremoso complexo. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Stockholm Syndrome Syrah 10-|2010|California|Syrah|2772€|Nariz: frutas escuras pimenta madura. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Subir Syrah 16-|2016|California|Syrah|889€|Nariz: cassis mineral. Boca: denso cremoso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Testa Querubini Grenache 14-|2014|California|Garnacha|1386€|Nariz: morango mineral. Boca: puro denso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sine Qua Non Touche 12-|2012|California|Garnacha|1520€|Nariz: frutas vermelhas ervas. Boca: cremoso complexo. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Promontory 15-|2015|California|Cabernet Sauvignon|1750€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Beaux Freres Pinot Noir 22-|2022|Oregón|Pinot Noir|395€|Nariz: morango cereja mineral. Boca: leve tenso. Pinot OR top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Evening Land Seven Springs TO 22-|2022|Oregón|Pinot Noir|85€|Nariz: frutas vermelhas ervas. Boca: puro mineral. Top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Deux Fleches Fleurie 23-|2023|Beaujolais|Gamay|45€|Nariz: morango flores. Boca: fresco leve. Fleurie top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Vial Fleurie 23-|2023|Beaujolais|Gamay|86€|Nariz: cereja ervas. Boca: puro mineral. Fleurie elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Vial Fleurie Palais 23-|2023|Beaujolais|Gamay|100€|Nariz: morango mineral. Boca: denso fresco. Top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Anne Gros Clos Vougeot GC Le Grand Maupertui 22-|2022|Borgoña|Pinot Noir|770€|Nariz: frutas vermelhas mineral. Boca: denso elegante. Grand Cru top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Anne Gros Richebourg GC 19-|2019|Borgoña|Pinot Noir|1925€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Richebourg top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Armand Rousseau Gevrey Chambertin 05-|2005|Borgoña|Pinot Noir|1335€|Nariz: frutas vermelhas mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Arnaud Ente Bourgogne TO 19-|2019|Borgoña|Pinot Noir|326€|Nariz: morango ervas mineral. Boca: leve tenso. Bourgogne top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Arnaud Ente Volnay 1C Santenot Milieu 19-|2019|Borgoña|Pinot Noir|880€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. 1er Cru top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Arnoux Lachaux Latricieres Chambertin 11-|2011|Borgoña|Pinot Noir|1300€|Nariz: frutas vermelhas mineral maduro. Boca: denso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch. Briailles Corton-Bressandes G. Cru. 20-|2020|Borgoña|Pinot Noir|326€|Nariz: morango mineral. Boca: denso elegante. Grand Cru top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chandon Briailles 1C Les Vergelesses 21-|2021|Borgoña|Pinot Noir|194€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. 1er Cru bom. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Chandon Briailles 1C Vergelesses 22-|2022|Borgoña|Pinot Noir|194€|Nariz: morango flores. Boca: puro tenso. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Charlopin Chambertin 20-|2020|Borgoña|Pinot Noir|1088€|Nariz: frutas vermelhas mineral. Boca: denso cremoso. Chambertin top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cherisey Meurs Genelotte TO 21-|2021|Borgoña|Pinot Noir|320€|Nariz: morango mineral. Boca: cremoso elegante. TO top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Cherisey Meursault 1C La Genelotte TO 19-|2019|Borgoña|Chardonnay|320€|Nariz: limão maçã mineral. Boca: cremoso tenso. TO top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Clos de Tart Morey St Denis 2022-|2022|Borgoña|Pinot Noir|289€|Nariz: morango mineral. Boca: denso puro. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
