[TEMP] Charmes-Chambertin (Grand Cru) 19-|2019|Borgoña|Pinot Noir|—|Nariz: cassis violetas, ervas e mineral. Boca: denso cremoso eterno, taninos refinados. Charmes-Chambertin ícone. Beba agora-2045+. Harmonização: carne vermelha premium.|WA: 97 | JS: 96 | Peñín: N/A
[TEMP] Vin de France 22-|2022|Borgoña|Pinot Noir|—|Nariz: frutas vermelhas frescas. Boca: leve vibrante. Vin de France top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Nuits-Saint-Georges 1er Cru Aux Perdrix 22-|2022|Borgoña|Pinot Noir|—|Nariz: cassis mineral. Boca: denso puro. Aux Perdrix top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Nuits-Saint-Georges 1er Cru Aux Perdrix 23-|2023|Borgoña|Pinot Noir|—|Nariz: morango, ervas. Boca: fresco denso. Aux Perdrix top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Échezeaux (Grand Cru) 23-|2023|Borgoña|Pinot Noir|—|Nariz: cassis violetas. Boca: denso eterno. Échezeaux ícone. Jovem top. Beba 2028-2050+. Harmonização: luxo máximo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Langhe Nebbiolo ‘Rivata’ 23-|2023|Itália (Piemonte, Langhe)|Nebbiolo|—|Nariz: cassis, rosas. Boca: vibrante fresco. Rivata top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Barbaresco ‘Rabajà’ 20-|2020|Itália (Piemonte, Barbaresco)|Nebbiolo|—|Nariz: rosas, cassis e mineral. Boca: denso cremoso. Rabajà top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Arulej ‘Controcorrente’ 23-|2023|Itália (Piemonte)|Nebbiolo|—|Nariz: cassis fresco, ervas. Boca: vibrante mineral. Controcorrente top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Brunello di Montalcino 19-|2019|Itália (Toscana)|Sangiovese|—|Nariz: cereja, ervas e mineral. Boca: denso cremoso. Brunello top. Beba agora-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Barbera d’Alba 22-|2022|Itália (Piemonte)|Barbera|—|Nariz: frutas vermelhas, ervas. Boca: acidez viva. Barbera top. Beba agora-2028+. Harmonização: queijos.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Bolgheri 19-|2019|Itália (Toscana)|Cabernet Sauvignon|—|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Bolgheri top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Bolgheri 21-|2021|Itália (Toscana)|Cabernet Sauvignon|—|Nariz: cassis puro. Boca: cremoso taninos firmes. Bolgheri top. Beba agora-2040+. Harmonização: carne premium.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Bolgheri 22-|2022|Itália (Toscana)|Cabernet Sauvignon|—|Nariz: cassis, ervas. Boca: denso vibrante. Jovem top. Beba 2027-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Sancerre ‘Silex’ 22-|2022|França (Loira)|Sauvignon Blanc|—|Nariz: cítricos, ervas e mineral. Boca: vibrante fresco. Silex top. Beba agora-2030+. Harmonização: peixe ou frutos do mar.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Châteauneuf-du-Pape 23-|2023|França (Ródano Sul)|Grenache|—|Nariz: frutas vermelhas, ervas e especiarias. Boca: fresco denso. Châteauneuf top. Jovem top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Côte-Rôtie ‘Champin le Seigneur’ 22-|2022|França (Ródano Norte)|Syrah|—|Nariz: cassis, pimenta e ervas. Boca: denso cremoso. Champin top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Côte-Rôtie ‘Les Grandes Places’ 22-|2022|França (Ródano Norte)|Syrah|—|Nariz: frutas escuras, mineral. Boca: denso puro. Les Grandes Places top. Beba agora-2040+. Harmonização: caça.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Blanc 20-|2020|França (Borgoña, Pouilly-Fuissé)|Chardonnay|—|Nariz: cítricos, ervas e mineral. Boca: cremoso equilibrado. Blanc top. Beba agora-2030+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] L’Oeillet (Le Litre) BL-|—|França (Alsácia)|Provável Sylvaner|—|Nariz: cítricos frescos, ervas. Boca: vibrante mineral. L’Oeillet top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Guardoilvento 22-|2022|Itália (Sicília)|Carricante|—|Nariz: cítricos, ervas e mineral vulcânico. Boca: cremoso vibrante. Guardoilvento top. Beba agora-2030+. Harmonização: peixe ou frutos do mar.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Blanc 22-|2022|França (Bordeaux)|Sauvignon Blanc|—|Nariz: cítricos, ervas. Boca: fresco equilibrado. Blanc top. Beba agora-2028+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Blanc 18-|2018|França|Chenin Blanc|—|Nariz: maçã, ervas e mineral. Boca: cremoso longo. Blanc top. Beba agora.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Foglio 1 23-|2023|Itália (Vêneto)|Garganega|—|Nariz: cítricos, ervas e mineral. Boca: vibrante fresco. Foglio 1 top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Hermitage Blanc 17-|2017|França (Ródano Norte)|Marsanne|—|Nariz: cítricos maduros, ervas. Boca: denso cremoso. Hermitage Blanc top. Beba agora.|WA: 95 | JS: 94 | Peñín: N/A
[TEMP] Blanc 17-|2017|França (Loira)|Chenin Blanc|—|Nariz: maçã, ervas e mineral. Boca: cremoso equilibrado. Blanc top. Beba agora.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Fiano di Avellino ‘Campore Riserva’ 19-|2019|Itália (Campânia)|Fiano|—|Nariz: cítricos, ervas e mineral. Boca: cremoso longo. Campore Riserva top. Beba agora-2030+. Harmonização: peixe.|WA: 93 | JS: 92 | Peñín: N/A
[TEMP] Hermitage Blanc 22-|2022|França (Ródano Norte)|Marsanne|—|Nariz: cítricos, ervas. Boca: denso cremoso. Hermitage Blanc top. Beba agora-2035+. Harmonização: frutos do mar.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Calderara Sottana (Blanc) 23-|2023|Itália (Sicília, Etna Bianco)|Carricante|—|Nariz: cítricos, mineral vulcânico. Boca: vibrante fresco. Calderara top. Jovem top. Beba agora-2028+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chardonnay 21-|2021|Estados Unidos (California)|Chardonnay|—|Nariz: cítricos maduros, ervas. Boca: cremoso equilibrado. Chardonnay top. Beba agora-2030+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chardonnay – Sonoma County 22-|2022|Estados Unidos (California)|Chardonnay|—|Nariz: cítricos, mineral. Boca: cremoso vibrante. Sonoma top. Beba agora-2030+. Harmonização: frutos do mar.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chardonnay 23-|2023|Estados Unidos|Chardonnay|—|Nariz: cítricos frescos. Boca: vibrante mineral. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Pinot Noir 22-|2022|Estados Unidos|Pinot Noir|—|Nariz: morango, mineral. Boca: fresco denso. Pinot Noir top. Beba agora-2030+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] TD-9 Cabernet Sauvignon – Napa Valley 21-|2021|Estados Unidos (California, Napa)|Cabernet Sauvignon|—|Nariz: cassis, ervas. Boca: denso cremoso. TD-9 top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Testa dei Cherubini Grenache 24-|2024|Estados Unidos (California)|Grenache|—|Nariz: frutas vermelhas maduras. Boca: vibrante denso. Jovem top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] 1900 – Pinotage 20-|2020|África do Sul|Pinotage|—|Nariz: frutas escuras, especiarias. Boca: denso cremoso. Pinotage top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Chardonnay 22-|2022|Estados Unidos/África do Sul|Chardonnay|—|Nariz: cítricos, mineral. Boca: cremoso vibrante. Chardonnay top. Beba agora-2030+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Napa Valley 15-|2015|Estados Unidos (California)|Cabernet Sauvignon blend|—|Nariz: cassis maduro, ervas. Boca: denso cremoso eterno. Napa top. Beba agora.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Napa Valley 16-|2016|Estados Unidos (California)|Cabernet Sauvignon blend|—|Nariz: cassis, mineral. Boca: cremoso taninos firmes. Napa top. Beba agora-2035+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Napa Valley 18-|2018|Estados Unidos (California)|Cabernet Sauvignon blend|—|Nariz: cassis, ervas. Boca: denso elegante. Napa top. Beba agora-2040+. Harmonização: luxo máximo.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Napa Valley 19-|2019|Estados Unidos (California)|Cabernet Sauvignon blend|—|Nariz: cassis mineral. Boca: cremoso eterno. Napa top. Beba agora-2045+. Harmonização: carne premium.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] La Rinconada Vineyard – Lompoc, CA 19-|2019|Estados Unidos (California)|Pinot Noir|—|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. La Rinconada top. Beba agora.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] La Rinconada Vineyard – Lompoc, CA 20-|2020|Estados Unidos (California)|Pinot Noir|—|Nariz: frutas vermelhas, mineral. Boca: fresco denso. La Rinconada top. Beba agora-2030+. Harmonização: peixe.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Cabernet Sauvignon – Oakville, Napa Valley 19-|2019|Estados Unidos (California)|Cabernet Sauvignon blend|—|Nariz: cassis, ervas. Boca: denso cremoso. Oakville top. Beba agora-2040+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Cabernet Sauvignon – Oakville, Napa Valley 21-|2021|Estados Unidos (California)|Cabernet Sauvignon blend|—|Nariz: cassis puro. Boca: cremoso taninos firmes. Oakville top. Beba agora-2040+. Harmonização: carne premium.|WA: N/A | JS: N/A | Peñín: N/A
[TEMP] Mount Bullet – South Africa 20-|2020|África do Sul|Merlot|—|Nariz: frutas escuras, ervas. Boca: cremoso taninos suaves. Mount Bullet top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
