Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Fleurot Larose Chassagne Rocquemaure 20-|2020|Borgoña|Chardonnay|278€|Nariz: maçã madura, limão sutil, mineral e noz leve. Boca: cremoso fresco, acidez viva, corpo médio, final longo mineral. Elegante e equilibrado. Beba agora-2032. Harmoniza com peixe grelhado ou frango cremoso.|JS: N/A (similar 92-94) | WA: N/A | TA: N/A | Peñín: N/A
Jadot Puligny 1C Combettes 23-|2023|Borgoña|Chardonnay|371€|Nariz: lima, flores, mineral. Boca: acidez crocante, puro elegante, final longo. Fresco refinado. Beba 2026-2038. Mariscos ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Meurs Vend Select 22-|2022|Borgoña|Chardonnay|204€|Nariz: maçã, limão, ervas. Boca: fresco mineral, acidez viva, corpo médio. Puro e Lafarge. Beba agora-2032. Peixe grelhado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lafarge Meursault 22-|2022|Borgoña|Chardonnay|138€|Nariz: frutas brancas, mineral. Boca: cremoso equilibrado, acidez boa. Elegante e acessível. Beba agora-2030. Frango ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Moine Corton Charlemagne 22-|2022|Borgoña|Chardonnay|790€|Nariz: limão tostado, mineral. Boca: denso complexo, acidez viva, longo. Poderoso Grand Cru. Beba 2027-2040. Lagosta.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leflaive Batard Montrachet 22-|2022|Borgoña|Chardonnay|2500€|Nariz: limão, maçã, mineral calcário, floral sutil. Boca: cremoso tenso, acidez brilhante, denso infinito. Ícone Leflaive. Beba 2028-2050. Caviar ou frutos do mar.|JS: 96+ | WA: 95+ | TA: N/A | Peñín: N/A
Leflaive Bienvenues Batard Montrachet 22-|2022|Borgoña|Chardonnay|2500€|Nariz: pêssego branco, flores, mineral. Boca: delicado cremoso, acidez viva, final persistente. Elegante supremo. Beba agora-2045. Pratos refinados.|JS: 97+ | WA: 96+ | TA: N/A | Peñín: N/A
Leflaive Chevalier Montrachet 22-|2022|Borgoña|Chardonnay|3330€|Nariz: limão mineral, maçã, carvalho sutil. Boca: rico denso, acidez precisa, longo eterno. Top mundial. Beba 2030-2060. Luxo puro.|JS: 98+ | WA: 97+ | TA: N/A | Peñín: N/A
Leflaive Puligny 1C Les Pucelles 21-|2021|Borgoña|Chardonnay|1290€|Nariz: maçã verde, limão, mineral. Boca: tenso puro, acidez alta, elegante longo. Clássico Leflaive. Beba agora-2035. Peixe ou aves.|JS: 95+ | WA: 94+ | TA: N/A | Peñín: N/A
Leflaive Puligny 1C Les Pucelles 22-|2022|Borgoña|Chardonnay|1230€|Nariz: flores, frutas brancas, mineral. Boca: cremoso equilibrado, acidez viva. Refinado. Beba agora-2040. Mariscos.|JS: 96+ | WA: 95+ | TA: N/A | Peñín: N/A
Lepetit Aligote Jeunes V 23-|2023|Borgoña|Chardonnay|101€|Nariz: limão, ervas, mineral. Boca: seco crocante, acidez alta refrescante. Jovem vibrante. Beba agora-2028. Aperitivo ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lepetit Meursault Perchots 23-|2023|Borgoña|Chardonnay|230€|Nariz: maçã, limão, mineral. Boca: cremoso mineral, acidez viva. Elegante. Beba agora-2032. Peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Bourgogne 17-|2017|Borgoña|Chardonnay|518€|Nariz: maçã madura, mineral, evolução sutil. Boca: cremoso complexo, acidez viva. Maduro delicioso. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Mersault 1C Genevrieres 18-|2018|Borgoña|Chardonnay|3048€|Nariz: frutas brancas, mel, mineral. Boca: rico denso, acidez brilhante. Ícone Leroy. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy Puligny-Montrachet 1C Sous Le Puits 19-|2019|Borgoña|Chardonnay|5495€|Nariz: limão mineral, maçã. Boca: tenso elegante, longo. Top Leroy. Beba 2025-2050. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leroy SA Meursault 2017-|2017|Borgoña|Chardonnay|2738€|Nariz: maçã, mineral, tostado sutil. Boca: cremoso persistente. Evoluído refinado. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Les Deux Fleches St Veran 23-|2023|Borgoña|Chardonnay|54€|Nariz: maçã limão, ervas. Boca: fresco mineral, acidez viva. Bom valor. Beba agora-2028. Peixe ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
M Haisma Chassagne Montr 23-|2023|Borgoña|Chardonnay|182€|Nariz: cítricos, mineral. Boca: puro equilibrado, acidez boa. Elegante acessível. Beba agora-2032. Frango.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Gautheron Bourgogne BL 23-|2023|Borgoña|Chardonnay|92€|Nariz: limão maçã, mineral. Boca: fresco crocante, leve gostoso. Aperitivo perfeito. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Bourgogne Bl 18-|2018|Borgoña|Chardonnay|739€|Nariz: frutas brancas mineral. Boca: cremoso complexo. Maduro Leroy. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maison Leroy Saint-Aubin 18-|2018|Borgoña|Chardonnay|2232€|Nariz: maçã limão mineral. Boca: tenso elegante. Top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Cor Charlemagne 22-|2022|Borgoña|Chardonnay|646€|Nariz: limão tostado mineral. Boca: denso cremoso, acidez viva. Grand Cru poderoso. Beba 2027-2040. Lagosta.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo Camuzet Corton Charlemagne 20-|2020|Borgoña|Chardonnay|410€|Nariz: maçã mineral carvalho. Boca: rico equilibrado longo. Elegante. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Meo-Camuzet Corton-Charlemagne G. Cru 21-|2021|Borgoña|Chardonnay|589€|Nariz: cítricos mineral. Boca: tenso denso. Top. Beba 2026-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Arnaud Ente Meursault 19-|2019|Borgoña|Chardonnay|Magnum (150cl)|2713€|Nariz: limão maçã mineral. Boca: cremoso persistente denso. Magnum top. Beba agora-2040.|JS: 96+ | WA: 95+ | TA: N/A | Peñín: N/A
Mg Arnaud Ente Puligny Champ Gain 19-|2019|Borgoña|Chardonnay|Magnum (150cl)|6300€|Nariz: frutas brancas mineral. Boca: elegante longo. Magnum raro. Beba 2025-2045.|JS: 97+ | WA: 96+ | TA: N/A | Peñín: N/A
