Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Prado Enea 16-|2016|Rioja|Tempranillo|125€|Nariz: cassis maduro, tabaco, couro e especiarias. Boca: denso cremoso, taninos elegantes e polidos, final longo e complexo. Prado Enea top. Beba agora-2035+. Harmonização: carne vermelha grelhada ou queijo curado.|WA: 94 | JS: 95 | Peñín: 95
Racines La Rinconada Pinot Noir 19-|2019|California|Pinot Noir|231€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. La Rinconada top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 95 | JS: 94 | Peñín: N/A
Racines La Rinconada Pinot Noir 22-|2022|California|Pinot Noir|228€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. La Rinconada top. Beba agora-2030+. Harmonização: carnes leves.|WA: 95 | JS: 94 | Peñín: N/A
Racines Santa Rita Hills Pinot Noir 20-|2020|California|Pinot Noir|132€|Nariz: morango, ervas. Boca: fresco mineral. Santa Rita top. Beba agora-2030+. Harmonização: aperitivo.|WA: 94 | JS: 93 | Peñín: N/A
Racines Santa Rita Hills Pinot Noir 22-|2022|California|Pinot Noir|97€|Nariz: frutas vermelhas frescas. Boca: vibrante mineral. Jovem top. Beba agora-2028+. Harmonização: peixe grelhado.|WA: 93 | JS: 92 | Peñín: N/A
Sandhi Santa Rita Hills TO 22-|2022|California|Pinot Noir|113€|Nariz: morango, ervas. Boca: fresco denso. Sandhi top. Beba agora-2030+. Harmonização: aves ou queijos.|WA: 93 | JS: 92 | Peñín: N/A
Screaming Eagle 07-|2007|California|Cabernet Sauvignon|9575€|Nariz: cassis maduro, mineral. Boca: denso eterno. Screaming Eagle ícone. Beba agora.|WA: 99 | JS: 98 | Peñín: N/A
Screaming Eagle 11-|2011|Estados Unidos (California)|Cabernet Sauvignon blend|9675€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Screaming Eagle 12-|2012|Estados Unidos (California)|Cabernet Sauvignon blend|8000€|Nariz: cassis violetas. Boca: denso puro eterno. Ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Screaming Eagle 13-|2013|Estados Unidos (California)|Cabernet Sauvignon blend|10500€|Nariz: cassis mineral. Boca: denso cremoso. Ícone. Beba agora.|WA: 99 | JS: 98 | Peñín: N/A
Screaming Eagle 18-|2018|California|Cabernet Sauvignon|10425€|Nariz: cassis, ervas. Boca: cremoso eterno. Ícone. Beba agora-2045+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Screaming Eagle 19-|2019|California|Cabernet Sauvignon|10425€|Nariz: cassis violetas, mineral profundo. Boca: denso eterno, taninos sedosos. Ícone. Beba agora-2045+. Harmonização: carne premium.|WA: 98 | JS: 99 | Peñín: N/A
Screaming Eagle 20-|2020|California|Cabernet Sauvignon|7600€|Nariz: cassis, ervas. Boca: denso cremoso. Ícone. Beba agora-2045+. Harmonização: assados.|WA: 98 | JS: 97 | Peñín: N/A
Screaming Eagle 21-|2021|California|Cabernet Sauvignon|7875€|Nariz: cassis mineral. Boca: denso puro eterno. Ícone. Beba agora-2050+. Harmonização: luxo máximo.|WA: 100 | JS: 98 | Peñín: N/A
Screaming Eagle The Flight 20-|2020|California|Cabernet Sauvignon|2390€|Nariz: cassis, ervas. Boca: cremoso equilibrado. The Flight top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Shafer TD-9 21-|2021|California|Merlot|175€|Nariz: frutas escuras, especiarias. Boca: denso cremoso. TD-9 top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Sine Qua Non 11 Confessions Grenache 19-|2019|California|Garnacha|1765€|Nariz: frutas vermelhas maduras, ervas e mineral. Boca: denso cremoso eterno. 11 Confessions top. Beba agora-2040+. Harmonização: carne ou queijos intensos.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non 11 Confessions Grenache 20-|2020|California|Garnacha|910€|Nariz: cassis, ervas. Boca: denso puro. 11 Confessions top. Beba agora-2040+. Harmonização: assados.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non 11 Confessions Syrah 17-|2017|California|Syrah|1109€|Nariz: frutas escuras, especiarias. Boca: cremoso taninos firmes. 11 Confessions top. Beba agora-2035+. Harmonização: caça.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non 11 Confessions Syrah 19-|2019|California|Syrah|1765€|Nariz: cassis mineral. Boca: denso eterno. 11 Confessions top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non 17th Nail Cranium Syrah 05-|2005|California|Syrah|3550€|Nariz: frutas escuras maduras, fumo. Boca: denso eterno. Ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Atlantis Syrah 05-|2005|California|Syrah|1890€|Nariz: cassis, ervas e mineral. Boca: cremoso longo. Atlantis top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Capo dei Putti Syrah 14-|2014|California|Syrah|1386€|Nariz: frutas escuras, especiarias. Boca: denso cremoso. Capo dei Putti top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Chemin Vers l'Heresie Gr 15-|2015|California|Garnacha|1500€|Nariz: frutas vermelhas, ervas. Boca: denso puro. Chemin top. Beba agora-2035+. Harmonização: queijos.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Cumulus Next of Kyn 17-|2017|California|Garnacha|1109€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Cumulus top. Beba agora-2035+. Harmonização: carne.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Dark Blossom Grenache 11-|2011|California|Garnacha|1575€|Nariz: frutas maduras, ervas. Boca: denso cremoso. Dark Blossom top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Dirt Vernacular Grenache 16-|2016|California|Garnacha|1360€|Nariz: cassis, ervas. Boca: denso eterno. Dirt Vernacular top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Distenta I Grenache 19-|2019|California|Garnacha|1370€|Nariz: frutas vermelhas, mineral. Boca: cremoso puro. Distenta I top. Beba agora-2040+. Harmonização: assados.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Distenta I Syrah 19-|2019|California|Syrah|1210€|Nariz: cassis mineral. Boca: denso cremoso. Distenta I top. Beba agora-2040+. Harmonização: caça.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Distenta III Syr 21-|2021|California|Syrah|645€|Nariz: frutas escuras, especiarias. Boca: denso puro. Distenta III top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Sine Qua Non Gorgeous Victim Grenache 17-|2017|California|Garnacha|1375€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Gorgeous Victim top. Beba agora-2035+. Harmonização: queijos intensos.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Jusqu A los Grenache 13-|2013|California|Garnacha|1386€|Nariz: frutas vermelhas maduras. Boca: denso eterno. Jusqu A los top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Le Suplement Syrah 13-|2013|California|Syrah|1386€|Nariz: cassis mineral. Boca: denso cremoso. Le Suplement top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Male Syrah 13-|2013|Estados Unidos (California)|Syrah|1465€|Nariz: frutas escuras, especiarias. Boca: denso puro. Male top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Pajarito del amor Grenache 16-|2016|California|Garnacha|1018€|Nariz: cassis, ervas. Boca: cremoso equilibrado. Pajarito top. Beba agora-2035+. Harmonização: carne.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Patine Grenache 11-|2011|California|Garnacha|1000€|Nariz: frutas vermelhas, mineral. Boca: denso cremoso. Patine top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Patine Syrah 11-|2011|California|Syrah|1000€|Nariz: cassis mineral. Boca: denso eterno. Patine top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Pictures Grenache 07-|2007|California|Garnacha|1640€|Nariz: frutas maduras, ervas. Boca: denso cremoso. Pictures top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Rattrapante 12-|2012|California|Syrah|1520€|Nariz: frutas escuras, especiarias. Boca: denso eterno. Rattrapante top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Short in the Dark 06-|2006|California|Syrah|2268€|Nariz: cassis maduro, fumo. Boca: denso cremoso. Short in the Dark top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Stock Syrah 12-|2012|Estados Unidos (California)|Syrah|1440€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Stock top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Stockholm Syndrome Syrah 10-|2010|California|Syrah|2772€|Nariz: frutas escuras, mineral. Boca: denso puro eterno. Stockholm Syndrome ícone. Beba agora.|WA: 99 | JS: 98 | Peñín: N/A
Sine Qua Non Subir Syrah 16-|2016|California|Syrah|889€|Nariz: cassis mineral. Boca: denso cremoso. Subir top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Sine Qua Non Testa Querubini Grenache 14-|2014|California|Garnacha|1386€|Nariz: frutas vermelhas, ervas. Boca: denso eterno. Testa Querubini top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Sine Qua Non Touche 12-|2012|California|Garnacha|1520€|Nariz: cassis, ervas. Boca: cremoso taninos firmes. Touche top. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Promontory 15-|2015|California|Cabernet Sauvignon|1750€|Nariz: cassis mineral maduro. Boca: denso cremoso. Promontory top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Beaux Freres Pinot Noir 22-|2022|Oregón|Pinot Noir|395€|Nariz: morango, ervas e mineral. Boca: elegante taninos finos. Beaux Freres top. Beba agora-2030+. Harmonização: peixe ou aves.|WA: 94 | JS: 93 | Peñín: N/A
Evening Land Seven Springs TO 22-|2022|Oregón|Pinot Noir|85€|Nariz: frutas vermelhas frescas. Boca: fresco mineral. Seven Springs top. Beba agora-2030+. Harmonização: aperitivo.|WA: 93 | JS: 92 | Peñín: N/A
Deux Fleches Fleurie 23-|2023|Beaujolais|Gamay|45€|Nariz: morango, flores. Boca: leve puro vibrante. Fleurie top. Jovem top. Beba agora-2028+. Harmonização: aperitivo ou carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Lafarge Vial Fleurie 23-|2023|Beaujolais|Gamay|86€|Nariz: frutas vermelhas, ervas. Boca: fresco denso. Fleurie top. Beba agora-2028+. Harmonização: queijos ou aves.|WA: 92 | JS: 91 | Peñín: N/A
Lafarge Vial Fleurie Palais 23-|2023|Beaujolais|Gamay|100€|Nariz: morango mineral. Boca: elegante taninos finos. Palais top. Beba agora-2030+. Harmonização: carnes leves.|WA: 93 | JS: 92 | Peñín: N/A
Anne Gros Clos Vougeot GC Le Grand Maupertui 22-|2022|Borgoña|Pinot Noir|770€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Clos Vougeot top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Anne Gros Richebourg GC 19-|2019|Borgoña|Pinot Noir|1925€|Nariz: cassis violetas. Boca: denso eterno. Richebourg ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 97 | JS: 96 | Peñín: N/A
Armand Rousseau Gevrey Chambertin 05-|2005|Borgoña|Pinot Noir|1335€|Nariz: cassis maduro, ervas. Boca: complexo eterno. Gevrey top. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
