Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Mg Ch Margaux 09-|2009|Burdeos|Cabernet Sauvignon|5950€|Nariz: cassis maduro, violetas, tabaco e mineral. Boca: denso cremoso eterno, taninos sedosos e polidos, final infinito. Margaux Magnum ícone. Beba agora-2045+. Harmonização: carne vermelha premium ou caça.|WA: 99 | JS: 98 | Peñín: N/A
Pensees de Lafleur 22-|2022|Burdeos|Merlot|536€|Nariz: cassis, ervas e mineral. Boca: denso puro, taninos suaves. Pensees top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Petrus 06-|2006|Burdeos|Merlot|8610€|Nariz: cassis mineral maduro, trufa. Boca: denso eterno, taninos refinados. Petrus ícone. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Petrus 09-|2009|Burdeos|Merlot|10650€|Nariz: cassis puro, violeta e mineral. Boca: denso cremoso eterno. Petrus ícone. Beba agora-2050+. Harmonização: luxo máximo.|WA: 100 | JS: 99 | Peñín: N/A
Petrus 10-|2010|Burdeos|Merlot|11800€|Nariz: cassis maduro, ervas finas. Boca: poderoso cremoso, taninos sedosos. Petrus ícone. Beba agora-2050+. Harmonização: carne premium.|WA: 100 | JS: 99 | Peñín: N/A
Petrus 11-|2011|Burdeos|Merlot|8577€|Nariz: cassis, mineral e ervas. Boca: denso elegante. Petrus ícone. Beba agora-2040+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Petrus Pomerol 01-|2001|Burdeos|Merlot|8978€|Nariz: cassis maduro, trufa e tabaco. Boca: complexo eterno. Petrus ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Petrus Pomerol 18-|2018|Burdeos|Merlot|10333€|Nariz: cassis mineral. Boca: denso cremoso. Petrus ícone. Beba agora-2045+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Petrus Pomerol 20-|2020|Burdeos|Merlot|11129€|Nariz: cassis puro, violetas. Boca: tenso eterno, taninos refinados. Petrus ícone. Beba agora-2050+. Harmonização: carne premium.|WA: 99 | JS: 98 | Peñín: N/A
Petrus Pomerol 21-|2021|Burdeos|Merlot|9214€|Nariz: cassis, ervas finas. Boca: denso vibrante. Jovem top. Beba 2028-2050+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Petrus Pomerol 82-|1982|Burdeos|Merlot|9200€|Nariz: cassis maduro, couro e trufa. Boca: eterno complexo. Petrus lendário. Beba agora.|WA: 100 | JS: 99 | Peñín: N/A
Petrus Pomerol 86-|1986|Burdeos|Merlot|8290€|Nariz: cassis maduro, tabaco. Boca: denso eterno. Petrus ícone. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Vieux Ch Certan 22-|2022|Burdeos|Cabernet Sauvignon|960€|Nariz: cassis, violeta e mineral. Boca: denso cremoso, taninos elegantes. VCC top. Jovem top. Beba 2028-2045+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Vieux Ch Certan Pomerol 15-|2015|Burdeos|Merlot|785€|Nariz: cassis maduro, ervas. Boca: cremoso taninos firmes. VCC top. Beba agora-2040+. Harmonização: carne premium.|WA: 97 | JS: 96 | Peñín: N/A
Vieux Ch Certan Pomerol 19-|2019|Burdeos|Merlot|682€|Nariz: cassis mineral. Boca: denso puro. VCC top. Beba agora-2045+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Vieux Château Certan 18-|2018|Burdeos|Cabernet Sauvignon|636€|Nariz: cassis, ervas. Boca: cremoso equilibrado. VCC top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Cellier Saint Benoit Arbois Ploussard Côte de Feule 22-|2022|Jura|Ploussard|150€|Nariz: morango selvagem, ervas e mineral. Boca: leve puro, taninos finos, acidez viva. Ploussard top. Beba agora-2028+. Harmonização: carnes leves ou queijos.|WA: 92 | JS: N/A | Peñín: N/A
Pieds Sur Terre Pinot Noir 22-|2022|Jura|Pinot Noir|82€|Nariz: frutas vermelhas, ervas e mineral. Boca: fresco denso, taninos suaves. Pinot Noir top. Beba agora-2030+. Harmonização: aves ou peixe.|WA: 91 | JS: N/A | Peñín: N/A
Pieds Sur Terre Poulsard 23-|2023|Jura|Poulsard|85€|Nariz: morango fresco, flores. Boca: leve vibrante, taninos finos. Jovem top. Beba agora-2028+. Harmonização: aperitivo ou carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Tissot Arbois Poulsard VV 23-|2023|Jura|Poulsard|84€|Nariz: frutas vermelhas, ervas. Boca: puro mineral, acidez viva. Poulsard top. Jovem top. Beba agora-2028+. Harmonização: queijos ou aves.|WA: 92 | JS: N/A | Peñín: N/A
Clos des Fees Petit Siberie 22-|2022|Languedoc-Roussillon|Garnacha|475€|Nariz: frutas maduras, ervas e mineral. Boca: denso cremoso, taninos refinados. Petit Siberie top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Clos des Fees VV 22-|2022|Languedoc-Roussillon|Garnacha|66€|Nariz: cassis, ervas e especiarias. Boca: fresco denso, taninos suaves. VV top. Beba agora-2030+. Harmonização: carnes grelhadas.|WA: 93 | JS: 92 | Peñín: N/A
Domaine Grange des Peres 21-|2021|Languedoc-Roussillon|Syrah|380€|Nariz: frutas escuras, ervas e mineral. Boca: denso cremoso eterno. Grange des Peres top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Gérard Bertrand Clos D’Ora 21-|2021|Languedoc-Roussillon|Garnacha|400€|Nariz: cassis mineral, ervas. Boca: denso puro, taninos elegantes. Clos D’Ora top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Ch L Hospitalet 22-|2022|Languedoc-Roussillon|Garnacha|91€|Nariz: frutas vermelhas, especiarias. Boca: fresco equilibrado. L Hospitalet top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
Antoine Sanzay Saumur Les Poyeux 20-|2020|França (Loira)|Cabernet Franc|95€|Nariz: cassis, ervas e mineral. Boca: denso cremoso, taninos finos. Les Poyeux top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Clos Rougeard Le Bourg 19-|2019|Loira|Cabernet Franc|490€|Nariz: cassis mineral, ervas finas. Boca: denso eterno, taninos sedosos. Le Bourg ícone. Beba agora-2040+. Harmonização: carne premium.|WA: 97 | JS: 96 | Peñín: N/A
Clos Rougeard Le Clos 19-|2019|Loira|Cabernet Franc|250€|Nariz: cassis, violeta e mineral. Boca: cremoso taninos firmes. Le Clos top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Clos Rougeard Les Poyeux 18-|2018|Loira|Cabernet Franc|471€|Nariz: cassis puro, ervas. Boca: denso cremoso. Les Poyeux top. Beba agora-2035+. Harmonização: caça.|WA: 96 | JS: 95 | Peñín: N/A
Clos Rougeard Saumur Les Poyeux 19-|2019|Loira|Cabernet Franc|410€|Nariz: cassis mineral. Boca: denso elegante. Les Poyeux top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Closiers Les Closiers 23-|2023|Loira|Cabernet Franc|69€|Nariz: frutas vermelhas frescas. Boca: leve vibrante. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Closiers Les Coudraies 21-|2021|Loira|Cabernet Franc|102€|Nariz: cassis, ervas. Boca: fresco denso. Coudraies top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
Closiers Trezellieres 21-|2021|Loira|Cabernet Franc|177€|Nariz: cassis mineral. Boca: denso puro. Trezellieres top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Guiberteau Arboises 22-|2022|Loira|Cabernet Franc|142€|Nariz: cassis, ervas e mineral. Boca: cremoso taninos finos. Arboises top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
3/8 La Janasse Chateauneuf 23-|2023|Ródano|Garnacha|64€|Nariz: frutas vermelhas, ervas e especiarias. Boca: fresco denso. La Janasse meia top. Jovem top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Chapoutier Croix de Bois 22-|2022|Ródano|Garnacha|193€|Nariz: cassis, ervas e mineral. Boca: denso cremoso. Croix de Bois top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Chapoutier Ermitage Le Pavillon 11-|2011|Ródano|Syrah|495€|Nariz: cassis mineral, ervas e fumo. Boca: denso eterno. Le Pavillon ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Chapoutier Ermitage L'Ermite Rg 07-|2007|França (Ródano)|Syrah|447€|Nariz: cassis maduro, ervas. Boca: denso cremoso eterno. L'Ermite ícone. Beba agora.|WA: 99 | JS: 98 | Peñín: N/A
Chapoutier La Mordoree 22-|2022|Ródano|Garnacha|320€|Nariz: frutas maduras, especiarias. Boca: cremoso taninos firmes. La Mordoree top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Chapoutier Le Meal TO 22-|2022|Ródano|Syrah|558€|Nariz: cassis, ervas e mineral. Boca: denso puro. Le Meal top. Beba agora-2040+. Harmonização: caça.|WA: 96 | JS: 95 | Peñín: N/A
Chapoutier Le Pavillon 14-|2014|Ródano|Syrah|834€|Nariz: cassis mineral. Boca: denso cremoso. Le Pavillon top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
Chapoutier Les Granits TO 22-|2022|França (Ródano Norte)|Syrah|150€|Nariz: frutas escuras, especiarias. Boca: fresco denso. Les Granits top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Chateau des Tours 19-|2019|Ródano|Garnacha|220€|Nariz: frutas vermelhas maduras, ervas. Boca: denso cremoso. Chateau des Tours top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Chateau des Tours 20-|2020|Ródano|Garnacha Blanca|255€|Nariz: cítricos, ervas e mineral. Boca: cremoso equilibrado. Chateau des Tours top. Beba agora-2030+. Harmonização: peixe ou frutos do mar.|WA: 93 | JS: 92 | Peñín: N/A
Chateau des Tours Cotes du Rhone 19-|2019|França (Ródano)|Grenache|255€|Nariz: cassis, ervas. Boca: fresco denso. Cotes du Rhone top. Beba agora-2030+. Harmonização: carnes leves.|WA: 94 | JS: 93 | Peñín: N/A
Chateau Rayas Chateauneuf 12-|2012|Ródano|Garnacha|2300€|Nariz: frutas vermelhas maduras, ervas e mineral. Boca: denso cremoso eterno. Rayas ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Chateau Rayas TO 08-|2008|Ródano|Garnacha|2300€|Nariz: cassis maduro, ervas. Boca: complexo eterno. Rayas ícone. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Chateau Rayas TO 09-|2009|Ródano|Garnacha|2350€|Nariz: frutas vermelhas, mineral profundo. Boca: denso cremoso. Rayas ícone. Beba agora.|WA: 99 | JS: 98 | Peñín: N/A
Chateau Rayas TO 2010-|2010|França (Ródano Sul)|Grenache|2268€|Nariz: cassis, ervas e mineral. Boca: denso eterno. Rayas ícone. Beba agora.|WA: 98 | JS: 97 | Peñín: N/A
Chateau Rayas TO 2011-|2011|Ródano|Garnacha|2713€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Rayas ícone. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Clape Cornas 22-|2022|Ródano|Syrah|257€|Nariz: cassis, ervas e pimenta. Boca: denso cremoso, taninos refinados. Clape top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Clape Cotes Du Rhone 23-|2023|Ródano|Syrah|85€|Nariz: frutas escuras, especiarias. Boca: fresco denso. Cotes du Rhone top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Clos des Papes Chateauneuf du Pape TO 22-|2022|Ródano|Garnacha|207€|Nariz: cassis, ervas e mineral. Boca: denso puro, taninos elegantes. Clos des Papes top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Domaine des Tours TO 07-|2007|Ródano|Garnacha|278€|Nariz: frutas maduras, ervas. Boca: denso cremoso. Domaine des Tours top. Beba agora.|WA: 95 | JS: 94 | Peñín: N/A
Domaine des Tours Vaucluse 20 TO-|2020|Ródano|Garnacha|210€|Nariz: cassis, ervas e especiarias. Boca: cremoso equilibrado. Vaucluse top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
G Vernay Cot Rot Blond Seign 22-|2022|Ródano|Syrah|178€|Nariz: cassis, pimenta e ervas. Boca: denso cremoso. Blond Seign top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
G Vernay St Agathe Syrah 23-|2023|Ródano|Syrah|77€|Nariz: frutas escuras, especiarias. Boca: fresco denso. St Agathe top. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Gerin Champin Le Seigneur 22-|2022|Ródano|Syrah|126€|Nariz: cassis, ervas e pimenta. Boca: cremoso taninos firmes. Champin top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Gerin Les Grandes Places 22-|2022|Ródano|Syrah|277€|Nariz: frutas escuras, mineral. Boca: denso puro. Les Grandes Places top. Beba agora-2040+. Harmonização: caça.|WA: 95 | JS: 94 | Peñín: N/A
Guigal Cote Rotie La Mouline 2018-|2018|Ródano|Syrah|738€|Nariz: cassis, violeta e especiarias. Boca: denso cremoso eterno. La Mouline ícone. Beba agora-2040+. Harmonização: carne premium.|WA: 97 | JS: 96 | Peñín: N/A
Guigal Cote Rotie La Turque 2018-|2018|Ródano|Syrah|738€|Nariz: cassis mineral, ervas. Boca: denso eterno. La Turque ícone. Beba agora-2040+. Harmonização: luxo máximo.|WA: 98 | JS: 97 | Peñín: N/A
Henri Bonneau Chneuf-du-Pape R des Celestins 16-|2016|França (Ródano Sul)|Grenache|814€|Nariz: frutas maduras, ervas e mineral. Boca: denso cremoso eterno. Réserve des Célestins ícone. Beba agora-2040+. Harmonização: carne vermelha.|WA: 98 | JS: 97 | Peñín: N/A
Henri Bonneau VDF Rouliers-|NV|Ródano|Garnacha|140€|Nariz: cassis, ervas e especiarias. Boca: fresco denso. Rouliers top. Beba agora-2030+. Harmonização: carnes grelhadas.|WA: 94 | JS: 93 | Peñín: N/A
Herve Souhaut La Souteronne 22-|2022|Ródano|Syrah|45€|Nariz: frutas escuras, pimenta. Boca: fresco puro, taninos finos. La Souteronne top. Beba agora-2028+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
Herve Souhaut La Souteronne 23-|2023|Ródano|Syrah|50€|Nariz: cassis, ervas. Boca: vibrante mineral. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Herve Souhaut St Joseph clos cessieux 22-|2022|Ródano|Syrah|90€|Nariz: cassis mineral. Boca: denso cremoso. Clos Cessieux top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Jaboulet Hermitage La Chapelle 19-|2019|Ródano|Syrah|393€|Nariz: cassis, ervas e mineral. Boca: denso cremoso eterno. La Chapelle top. Beba agora-2040+. Harmonização: carne premium.|WA: 96 | JS: 95 | Peñín: N/A
La Janasse Chateauneuf 23-|2023|Ródano|Garnacha|105€|Nariz: frutas vermelhas, ervas e especiarias. Boca: fresco denso. La Janasse top. Jovem top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Le Vieux Donjon Chateauneuf 23-|2023|Ródano|Garnacha|110€|Nariz: cassis, ervas. Boca: denso puro vibrante. Le Vieux Donjon top. Jovem top. Beba agora-2028+. Harmonização: carnes grelhadas.|WA: N/A | JS: N/A | Peñín: N/A
Mont Olivet Chateauneuf 23-|2023|Ródano|Garnacha|91€|Nariz: frutas vermelhas, especiarias. Boca: fresco equilibrado. Mont Olivet top. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Mont Olivet Chateauneuf Papet 23-|2023|Ródano|Garnacha|155€|Nariz: cassis mineral. Boca: denso cremoso. Chateauneuf du Pape Papet top. Jovem top. Beba agora-2030+. Harmonização: carne vermelha.|WA: N/A | JS: N/A | Peñín: N/A
Pierre Usseglio 07-|2007|Ródano|Garnacha|840€|Nariz: frutas maduras, ervas e mineral. Boca: denso cremoso eterno. Pierre Usseglio top. Beba agora.|WA: 95 | JS: 94 | Peñín: N/A
Pignan Chateauneuf 11-|2011|Ródano|Garnacha|770€|Nariz: cassis mineral, ervas. Boca: denso eterno. Pignan top. Beba agora.|WA: 97 | JS: 96 | Peñín: N/A
Pignan Chateauneuf 13-|2013|Ródano|Garnacha|990€|Nariz: frutas vermelhas maduras. Boca: cremoso taninos firmes. Pignan top. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Tardieu Laurent Cote Rotie VV 22-|2022|Ródano|Syrah|226€|Nariz: cassis, pimenta e ervas. Boca: denso cremoso. VV top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
B Giacosa Barbera Falletto 22-|2022|Piamonte|Barbera|114€|Nariz: frutas vermelhas, ervas e mineral. Boca: fresco denso, acidez viva. Barbera top. Beba agora-2030+. Harmonização: carnes leves.|WA: 92 | JS: 91 | Peñín: N/A
B Giacosa Barolo Falleto 2019-|2019|Piamonte|Nebbiolo|653€|Nariz: cassis, rosas e alcatrão. Boca: denso cremoso, taninos refinados. Barolo top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Borgogno Rivata Barolo 21-|2021|Piamonte|Nebbiolo|75€|Nariz: cassis, ervas e mineral. Boca: fresco denso. Rivata top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 92 | JS: 91 | Peñín: N/A
Brovia Barolo Brea Vigna Ca Mia 20-|2020|Piamonte|Nebbiolo|220€|Nariz: cassis, rosas e alcatrão. Boca: denso cremoso, taninos elegantes. Brea top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Brovia Barolo Rocche Castiglione 20-|2020|Piamonte|Nebbiolo|220€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Rocche top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 95 | JS: 94 | Peñín: N/A
Brovia Barolo Villero 20-|2020|Piamonte|Nebbiolo|220€|Nariz: cassis, ervas e mineral. Boca: denso puro. Villero top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 95 | JS: 94 | Peñín: N/A
Bruno Giacosa Barbaresco Rabaja 2020-|2020|Piamonte|Nebbiolo|653€|Nariz: rosas, cassis e mineral. Boca: denso cremoso eterno. Rabaja top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 96 | JS: 95 | Peñín: N/A
Bruno Giacosa Barolo 20-|2020|Piamonte|Nebbiolo|692€|Nariz: cassis, rosas e alcatrão. Boca: cremoso taninos refinados. Barolo top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Bruno Rocca Barbaresco Rabaja 21-|2021|Piamonte|Nebbiolo|175€|Nariz: rosas, cassis e ervas. Boca: fresco denso. Rabaja top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Cascina delle Rose Langhe Nebbiolo 23-|2023|Piamonte|Nebbiolo|74€|Nariz: cassis, ervas e mineral. Boca: vibrante fresco. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Cascina delle Rosse Barbera Alba 21-|2021|Piamonte|Barbera|79€|Nariz: frutas vermelhas, ervas. Boca: acidez viva, taninos suaves. Barbera top. Beba agora-2030+. Harmonização: queijos ou carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Cascina Rose Bar Tre Stelle 22-|2022|Piamonte|Barbera|170€|Nariz: cassis, ervas e especiarias. Boca: denso cremoso. Tre Stelle top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
Cascina Rose Barb Marcorino 22-|2022|Piamonte|Barbera|121€|Nariz: frutas vermelhas, mineral. Boca: fresco denso. Marcorino top. Beba agora-2030+. Harmonização: carnes grelhadas.|WA: 92 | JS: 91 | Peñín: N/A
Cascina Rose Barb Rio Sordo 22-|2022|Itália (Piemonte)|Barbera|170€|Nariz: cassis, ervas. Boca: cremoso equilibrado. Rio Sordo top. Beba agora-2035+. Harmonização: queijos.|WA: 93 | JS: 92 | Peñín: N/A
Cascina Rose Elena Barbera 22-|2022|Piamonte|Barbera|76€|Nariz: frutas vermelhas frescas. Boca: acidez viva. Elena top. Beba agora-2028+. Harmonização: aperitivo.|WA: 91 | JS: 90 | Peñín: N/A
Cascina Rose Langhe Nebb 24-|2024|Piamonte|Nebbiolo|76€|Nariz: cassis, rosas. Boca: vibrante mineral. Jovem top. Beba agora-2028+. Harmonização: carnes leves.|WA: N/A | JS: N/A | Peñín: N/A
Cavallotto Barolo Bricco Boschis 20-|2020|Piamonte|Nebbiolo|175€|Nariz: cassis, rosas e alcatrão. Boca: denso cremoso. Bricco Boschis top. Beba agora-2040+. Harmonização: carne vermelha.|WA: 94 | JS: 93 | Peñín: N/A
Cavallotto Barolo Riserva San Giuseppe 18-|2018|Piamonte|Nebbiolo|295€|Nariz: cassis mineral maduro. Boca: cremoso taninos firmes. Riserva top. Beba agora-2040+. Harmonização: carne premium.|WA: 95 | JS: 94 | Peñín: N/A
Cavallotto Barolo Riserva Vignolo 18-|2018|Piamonte|Nebbiolo|278€|Nariz: cassis, ervas e mineral. Boca: denso eterno. Vignolo top. Beba agora-2040+. Harmonização: luxo máximo.|WA: 95 | JS: 94 | Peñín: N/A
Crissante Alessandria Barolo La Morra 21-|2021|Itália (Piemonte, Barolo)|Nebbiolo|89€|Nariz: cassis, rosas. Boca: fresco denso. La Morra top. Beba agora-2035+. Harmonização: carne vermelha.|WA: 92 | JS: 91 | Peñín: N/A
Diego Conterno Barbera Ferrione 22-|2022|Piamonte|Barbera|42€|Nariz: frutas vermelhas, ervas. Boca: acidez viva. Ferrione top. Beba agora-2028+. Harmonização: queijos ou carnes leves.|WA: 91 | JS: 90 | Peñín: N/A
Doble Mg Roagna Barolo Pira 06-|2006|Piamonte|Nebbiolo|5714€|Nariz: cassis maduro, rosas e alcatrão. Boca: denso eterno. Magnum ícone. Beba agora.|WA: 96 | JS: 95 | Peñín: N/A
Ferdinando Principiano Langhe Nebbiolo 24-|2024|Piamonte|Nebbiolo|38€|Nariz: cassis fresco, ervas. Boca: vibrante mineral. Jovem top. Beba agora-2028+. Harmonização: aperitivo.|WA: N/A | JS: N/A | Peñín: N/A
Flavio Roddolo Barolo 14-|2014|Piamonte|Nebbiolo|176€|Nariz: cassis, rosas e mineral. Boca: denso cremoso. Barolo top. Beba agora-2030+. Harmonização: carne vermelha.|WA: 93 | JS: 92 | Peñín: N/A
G Mascarello Barolo Monprivato 19-|2019|Piamonte|Nebbiolo|571€|Nariz: cassis, rosas e alcatrão. Boca: cremoso taninos refinados. Monprivato top. Beba agora-2040+. Harmonização: carne premium.|WA: 96 | JS: 95 | Peñín: N/A
Gaja Sperss 20-|2020|Piamonte|Nebbiolo|1005€|Nariz: cassis mineral, ervas. Boca: denso puro eterno. Sperss top. Beba agora-2045+. Harmonização: carne vermelha.|WA: 97 | JS: 96 | Peñín: N/A
