status,source_file,producer,item,ano_raw,qty_total,rows_count,locations,best_pod,best_descripcion,best_score,best_margin,best_producer_score,pais_sugerido,region_sugerida,tipo_sugerido,uva_sugerida,clima_sugerido,suelo_sugerido
provavel_alias_existente,222 borgoña_tintos.pdf,Michel Lafarge,Volnay,2022,3,1,CAVA 4 · BALDA 7 · IZQ,POD017406,Lafarge Volnay Vend Select 22-,0.681,0.0819,0.7778,Francia,Borgoña,Tinto,Pinot Noir,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,222 borgoña_tintos.pdf,Pernot,Gevrey-Chambertin,2022,4,1,CAVA 4 · BALDA 6 · CEN,POD015909,Pascal Pernot Gevrey Chambertin 22-,0.6938,0.1118,0.4615,Francia,Borgoña,Tinto,Pinot Noir,Continental.,Calcário e marga.
provavel_alias_existente,222 borgoña_tintos.pdf,Prieuré Roch,Latricières-Chambertin (Grand Cru),2022,4,1,CAVA 5 · BALDA 4 · IZQ,POD017727,Prieure Roch Chamber Cl Beze 22-,0.7843,0.0193,1.0,Francia,Borgoña,Tinto,Pinot Noir,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,222 borgoña_tintos.pdf,des Perdrix,Bourgogne,2023,4,1,CAVA 4 · BALDA 7 · CEN,POD019302,Dom des Perdrix Bourgogne TO 23-,0.7105,0.1795,0.7333,Francia,Borgoña,Tinto,Pinot Noir,Continental.,Calcário e marga.
provavel_alias_existente,italia.pdf,Crissante,Barolo (La Morra),2021,3,1,CAVA 9 · BALDA 4 · CEN,POD018184,Crissante Alessandria Barolo La Morra 21-,0.6975,0.2061,0.6,Italia,Piamonte,Tinto,Nebbiolo,Continental com outono longo.,Marga calcárea.
provavel_alias_existente,italia.pdf,Tenuta delle Terre Nere,Calderara Sottana,2022,3,1,CAVA 9 · BALDA 8 · IZQ,POD017654,Terre N Calderara Sottana BL 22-,0.7233,0.0,0.6061,Italia,Sicilia,Blanco,Carricante,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,italia.pdf,Tenuta delle Terre Nere,Moganazzi,2022,3,1,CAVA 9 · BALDA 8 · IZQ,POD017657,Terre Nere Moganazzi 22-,0.6577,0.2131,0.6061,Italia,Sicilia,Tinto,Nerello Mascalese,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,resto_francia.pdf,Château Rayas,Châteauneuf-du-Pape,2012,1,1,CAVA 6 · BALDA 4 · E,POD016920,Chateau Rayas Chateauneuf 12-,0.7998,0.0298,1.0,Francia,Ródano,Tinto,"Garnacha, Syrah, Mourvèdre",Mediterrâneo quente.,Galets e argila.
provavel_alias_existente,resto_francia_italia_blancos.pdf,Château Fuissé,Blanc,2020,1,1,CAVA 10 · BALDA 4 · E,POD010654,Ch Cheval Blanc Saint Emilion 20-,0.494,0.0059,0.5294,Francia,Burdeos,Tinto,"Merlot, Cabernet Franc, Cabernet Sauvignon",Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,resto_francia_italia_blancos.pdf,M. Chapoutier,Hermitage ‘De l’Orée’,2022,2,2,CAVA 10 · BALDA 4 · A / CAVA 10 · BALDA 5 · CEN,POD017821,Chapoutier Ermitage L'Oree 22-,0.7911,0.0038,0.8276,Francia,Ródano,Tinto,Syrah,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,usa_y_sudafrica_TO.pdf,Besson Frères,Pinot Noir,2022,3,1,CAVA 7 · BALDA 2 · IZQ,POD019206,Beaux Freres Pinot Noir 22-,0.6224,0.1568,0.5294,Estados Unidos,Oregón,Tinto,Pinot Noir,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,usa_y_sudafrica_TO.pdf,Racines,Sta. Rita Hills Cuvée Chardonnay,2020,6,1,CAVA 8 · BALDA 3 · IZQ,POD016398,Racines Santa Rita Hills Chardonnay 20-,0.7856,0.0295,0.7368,Estados Unidos,California,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_alias_existente,usa_y_sudafrica_TO.pdf,Salem Wine Co.,Chardonnay,2021,3,1,CAVA 9 · BALDA 1 · IZQ,POD016403,Racines Wenzlau Chardonnay 22-,0.5124,0.0433,0.48,Estados Unidos,California,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
provavel_vinho_novo,222 borgoña_blancos.pdf,Arnaud Ente,Fourchaume 1er Cru,2022,1,1,CAVA 7 · BALDA 1 · IZQ,POD015942,Mg Meursault Seve du Clos VV 20-,0.5769,0.0398,1.0,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Arnaud Ente,Montmains 1er Cru,2022,1,1,CAVA 7 · BALDA 1 · DER,POD015939,Arnaud Ente Meursault 20-,0.5398,0.016,1.0,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Arnaud Ente,Montée de Tonnerre 1er Cru,2022,1,1,CAVA 7 · BALDA 1 · IZQ,POD015942,Mg Meursault Seve du Clos VV 20-,0.5563,0.0363,1.0,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Arnaud Ente,Tête d’Or,2022,1,1,CAVA 7 · BALDA 1 · IZQ,POD015939,Arnaud Ente Meursault 20-,0.5706,0.0022,1.0,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Arnaud Ente,Tête d’Or (1.5L),2022,1,1,CAVA 7 · BALDA 8 · DER,POD015942,Mg Meursault Seve du Clos VV 20-,0.5936,0.0177,1.0,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Hospices de Beaune,Meursault Clos des Écoles,2022,3,1,CAVA 7 · BALDA 4 · CEN,POD016245,Clos des Fees VV 22-,0.5622,0.025,0.5161,França,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_blancos.pdf,Hospices de Beaune,Meursault Genevrières 1er Cru,2016,3,1,CAVA 7 · BALDA 2 · CEN,POD017288,Raveneau Chablis 1C Foret 16-,0.4657,0.01,0.4571,França,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_blancos.pdf,Le Puy de l’Ours,Savigny-lès-Beaune Les Goudelettes,2023,1,1,CAVA 7 · BALDA 7 · DER,POD019636,Celler del Roure La Pebrella 23-,0.4962,0.025,0.5806,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Marquis de Laguiche,Chassagne-Montrachet 1er Cru Morgeot,2022,1,1,CAVA 8 · BALDA 6 · DER,POD015932,Leflaive Chevalier Montrachet 22-,0.5278,0.0179,0.5143,França,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_blancos.pdf,Marquis de Laguiche,Montrachet (Grand Cru),2022,2,1,CAVA 8 · BALDA 5 · E,POD017577,Leflaive Batard Montrachet 22-,0.518,0.0117,0.5143,França,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_blancos.pdf,Raveneau,Blanchot (Grand Cru),2016,2,1,CAVA 8 · BALDA 5 · B,POD017291,Raveneau Chablis Blanchots 16-,0.5911,0.0549,0.64,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Raveneau,Butteaux 1er Cru,2015,1,1,CAVA 7 · BALDA 2 · IZQ,POD017286,Raveneau Chablis 1C Butteaux 15-,0.6103,0.0556,0.64,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Raveneau,Montée de Tonnerre 1er Cru,2022,2,1,CAVA 7 · BALDA 2 · IZQ,POD017725,Raveneau Chab 1C M Tonnerre 22-,0.5956,0.0768,0.64,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Raveneau,Valmur (Grand Cru),2016,3,1,CAVA 8 · BALDA 2 · DER,POD017292,Raveneau Chablis Valmur 16-,0.5688,0.0273,0.64,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_blancos.pdf,Si tu Sais,Pernand-Vergelesses,2023,3,1,CAVA 7 · BALDA 7 · DER,POD018176,Si Tu Sais Pernand Belle Fils 23-,0.6138,0.169,0.6,França,—,Blanco,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,D. L’Arlot,Romanée-Saint-Vivant (Grand Cru),2023,3,1,CAVA 5 · BALDA 6 · IZQ,POD019284,Dom L'Arlot Romanee S Vivant 23-,0.6135,0.0697,0.6154,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,D. de l’Arlot,Nuits-Saint-Georges 1er Cru Clos de l’Arlot,2023,3,1,CAVA 4 · BALDA 1 · CEN,POD019282,Domaine de L´Arlot Vosne 1C Suchots 23-,0.5761,0.0575,0.7586,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,D. de l’Arlot,Nuits-Saint-Georges 1er Cru Clos des Forêts Saint Georges,2022,1,1,CAVA 4 · BALDA 1 · CEN,POD012515,Domaine de L´Arlot NSG Clos Forets 22-,0.6005,0.0519,0.7586,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,DRC,Grands-Échezeaux,2019,1,1,CAVA 5 · BALDA 1 · IZQ,POD010182,Andre Heucq Heritage Meunier Brut Nature-,0.3246,0.0899,0.4286,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,DRC,Romanée-Saint-Vivant,2019,2,1,CAVA 5 · BALDA 1 · IZQ,POD010182,Andre Heucq Heritage Meunier Brut Nature-,0.33,0.04,0.4286,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,DRC,Vosne-Romanée 1er Cru Les Petits Monts,2019,2,1,CAVA 4 · BALDA 5 · E,POD010182,Andre Heucq Heritage Meunier Brut Nature-,0.3415,0.0665,0.4286,França,Borgoña,Tinto,Pinot Noir,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_tintos.pdf,Henri Magnien / François Thurot,Côte de Nuits (entrada tal como figura),2022,3,1,CAVA 4 · BALDA 3 · CEN,POD013335,Magnien Cote de Nuits Thurot 22-,0.585,0.0679,0.619,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Hubert Lignier,Chambolle-Musigny 1er Cru Les Amoureuses,2015,1,1,CAVA 5 · BALDA 5 · A,POD012412,Mugnier Musigny 15-,0.4852,0.0434,0.4737,França,Borgoña,Tinto,Pinot Noir,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_tintos.pdf,Jean Grivot,Bourgogne ‘Cuvée Jeunesse’,2023,3,1,CAVA 4 · BALDA 7 · CEN,POD018353,Grivot Bourgogne TO 22-,0.6032,0.0486,0.7333,França,Borgoña,Tinto,Pinot Noir/Chardonnay,Continental.,Calcário e marga.
provavel_vinho_novo,222 borgoña_tintos.pdf,Jean Grivot,Nuits-Saint-Georges ‘Les Fleuries’,2023,2,1,CAVA 4 · BALDA 6 · DER,POD018359,Grivot Vosne Les Suchots 22-,0.5558,0.0178,0.7333,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Le Puy de l’Ours,Les Follettes,2023,3,1,CAVA 4 · BALDA 4 · DER,POD018161,Closiers Les Closiers 23-,0.4863,0.0399,0.5143,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Les Terres de Philéandre,Savigny-lès-Beaune 1er Cru Les Serpentières,2022,2,1,CAVA 4 · BALDA 1 · DER,POD017374,Vogue Chambolle 1er Cru 22-,0.471,0.0163,0.5106,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Pacalet,Chambertin (Grand Cru),2019,3,1,CAVA 5 · BALDA 3 · CEN,POD015903,Valentini Trebbiano D’ Abruzzo 20-,0.465,0.0012,0.5,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Pacalet,Chambertin Clos de Bèze (Grand Cru),2019,2,1,CAVA 5 · BALDA 3 · CEN,POD011380,Arnaud Ente Meursault Clos de Ambres 19-,0.4992,0.0472,0.4444,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Pacalet,Chapelle-Chambertin (Grand Cru),2019,0,1,CAVA 5 · BALDA 3 · CEN,POD018038,San Cobate Cucufate Monasterio 19-,0.4573,0.0108,0.4706,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Pacalet,Charmes-Chambertin (Grand Cru),2019,2,1,CAVA 5 · BALDA 3 · DER,POD009367,Jaboulet Hermitage La Chapelle 19-,0.4491,0.0141,0.48,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Pacalet,Morey-Saint-Denis ‘La Rue de Vergy’,2019,3,1,CAVA 5 · BALDA 7 · IZQ,POD_TEMP_1051,Clos Fourtet Saint Emilion GC Classe 19-,0.4893,0.0241,0.4211,França,—,Tinto,—,—,—
provavel_vinho_novo,222 borgoña_tintos.pdf,Pierre Morey,Meursault,—,1,1,CAVA 4 · BALDA 6 · DER,POD012516,Pierre Morey Bourgogne BL 22-,0.5916,0.0043,1.0,França,Borgoña,Tinto,Chardonnay,Continental.,Calcário e marga.
provavel_vinho_novo,italia.pdf,Borgogno,Langhe Nebbiolo ‘Rivata’,2023,2,1,CAVA 9 · BALDA 2 · IZQ,POD018873,Borgogno Rivata Barolo 21-,0.6023,0.1829,1.0,Italia,Piamonte,Tinto/Blanco,Nebbiolo,Continental com neblina sazonal.,Marga e calcário.
provavel_vinho_novo,italia.pdf,Falletto,Barbaresco ‘Rabajà’,2020,3,1,CAVA 9 · BALDA 2 · CEN,POD012564,Cavallotto Barolo Bricco Boschis 20-,0.5028,0.0469,0.5882,Italia,Piamonte,Tinto/Blanco,Nebbiolo,Continental com outono longo.,Marga calcárea.
provavel_vinho_novo,italia.pdf,G.D. Vajra,Arulej ‘Controcorrente’,2023,3,1,CAVA 9 · BALDA 7 · IZQ,POD014184,Gaja Rossj-,0.5036,0.0645,0.6154,Italia,—,Tinto/Blanco,—,—,—
provavel_vinho_novo,italia.pdf,Podere San Giuseppe (Bacia),Brunello di Montalcino,2019,1,1,CAVA 12 · BALDA 4 · IZQ,POD013366,G Mascarello Barolo Monprivato 19-,0.5255,0.076,0.5455,Italia,Toscana,Tinto/Blanco,Sangiovese,Mediterrâneo continental.,Galestro e albarese.
provavel_vinho_novo,resto_francia.pdf,Domaine Delaporte,Sancerre ‘Silex’,2022,6,1,CAVA 6 · BALDA 3 · DER,POD017490,Domaine De La Cote Estate 22-,0.5886,0.0403,0.8571,França,—,Tinto/Blanco,—,—,—
provavel_vinho_novo,resto_francia.pdf,Isabel Ferrando (Saint Préfert),Châteauneuf-du-Pape,2023,3,1,CAVA 6 · BALDA 4 · C,POD_TEMP_1093,Isabel Ferrando Tinto 2023,0.4664,0.0441,0.6818,França,Ródano Sul,Tinto/Blanco,Grenache (blend),Mediterrâneo quente.,Galets e argila.
provavel_vinho_novo,resto_francia.pdf,Isabel Ferrando (Saint Préfert),Côte-Rôtie ‘Champin le Seigneur’,2022,3,1,CAVA 6 · BALDA 5 · IZQ,POD015909,Pascal Pernot Gevrey Chambertin 22-,0.5026,0.0408,0.4898,França,—,Tinto/Blanco,—,—,—
provavel_vinho_novo,resto_francia.pdf,Isabel Ferrando (Saint Préfert),Côte-Rôtie ‘Les Grandes Places’,2022,2,1,CAVA 6 · BALDA 4 · A,POD019768,A Mendoza Tempr Grano a Gran 22-,0.4699,0.0224,0.4878,França,—,Tinto/Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Brand et Fils,L’Oeillet (Le Litre),—,4,1,CAVA 10 · BALDA 1 · CEN,POD004085,Bereche et Fils Brut Reserve-,0.48,0.0268,0.7143,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Caciorgna,Guardoilvento,2022,3,1,CAVA 10 · BALDA 6 · IZQ,POD012580,Pietro Caciorgna Etna Bianco 22-,0.5138,0.0084,0.72,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Château Smith Haut Lafitte,Blanc,2022,3,1,CAVA 10 · BALDA 4 · B,POD017981,Ch Smith Haut Lafite BL 22-,0.5698,0.0,0.9804,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Fides (Crimorgat),Blanc,2018,3,1,CAVA 10 · BALDA 3 · CEN,POD010021,Eric Morgat Fides 2018-,0.4241,0.0169,0.6923,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Filippi,Foglio 1,2023,1,1,CAVA 10 · BALDA 6 · CEN,POD019795,Fillipi Castelcerino 24-,0.5352,0.1467,0.8571,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Guicciardini Strozzi,Hermitage Blanc,2017,4,1,CAVA 10 · BALDA 5 · DER,POD011185,Zuccardi Piedra Infinita 19-,0.2986,0.0074,0.5,França/Italia,Ródano Norte,Blanco,Marsanne/Roussanne,Continental-mediterrâneo.,Granito e aluviais.
provavel_vinho_novo,resto_francia_italia_blancos.pdf,La Croisée des Chenins,Blanc,2017,3,1,CAVA 10 · BALDA 3 · IZQ,POD015096,Viña La Forajida 17-,0.385,0.0359,0.5,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,T. Di Paolo,Fiano di Avellino ‘Campore Riserva’,2019,3,1,CAVA 10 · BALDA 7 · CEN,POD018439,Scavino Barolo Bric Fiasc 20-,0.467,0.0029,0.5,França/Italia,—,Blanco,—,—,—
provavel_vinho_novo,resto_francia_italia_blancos.pdf,Taittinger,Hermitage Blanc,2022,3,1,CAVA 10 · BALDA 5 · IZQ,POD_TEMP_1010,Tara Blanco 2022,0.5123,0.0039,0.4286,França/Italia,Ródano Norte,Blanco,Marsanne/Roussanne,Continental-mediterrâneo.,Granito e aluviais.
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Ceritas,Chardonnay – Sonoma County,2022,3,1,CAVA 8 · BALDA 1 · IZQ,POD018347,Ceritas Elliott Pinot Noir 22-,0.5658,0.0377,0.6667,EUA/África do Sul,—,Tinto,—,—,—
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,La Source,Chardonnay,2023,3,1,CAVA 8 · BALDA 4 · DER,POD019757,Le Chiuse Rosso Montalcino 23-,0.4251,0.0026,0.4444,EUA/África do Sul,—,Tinto,—,—,—
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Seven Springs,Chardonnay,2022,5,1,CAVA 9 · BALDA 1 · CEN,POD013303,Vincent Girardin Montrachet 22-,0.4603,0.0242,0.4828,EUA/África do Sul,—,Tinto,—,—,—
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Seven Springs,Pinot Noir,2022,5,1,CAVA 7 · BALDA 2 · CEN,POD017478,Pingus 22-,0.4855,0.0431,0.4667,EUA/África do Sul,—,Tinto,—,—,—
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Shafer,TD-9 Cabernet Sauvignon – Napa Valley,2021,3,1,CAVA 5 · BALDA 1,POD017503,Shafer TD-9 21-,0.4709,0.0519,0.5455,EUA/África do Sul,—,Tinto,Sauvignon Blanc,Preferência por clima fresco.,Sílex/calcário/granito.
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Sine Qua Non,Testa dei Cherubini Grenache,2024,1,1,CAVA 7 · BALDA 1 · DER,POD018029,Ott Ch de Selle Provence Rose 24-,0.4626,0.0001,0.4348,EUA/África do Sul,—,Tinto,—,—,—
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Spioenkop,1900 – Pinotage,2020,5,1,CAVA 10 · BALDA 1,POD013053,Quiñon de Valmira 20-,0.4107,0.028,0.48,EUA/África do Sul,—,Tinto,—,—,—
provavel_vinho_novo,usa_y_sudafrica_TO.pdf,Summum,Chardonnay,2022,3,1,CAVA 9 · BALDA 1 · DER,,,0.0,0.0,0.0,EUA/África do Sul,—,Tinto,—,—,—
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Antoine LePetit,Bourgogne Aligoté,2023,3,1,CAVA 7 · BALDA 8 · IZQ,POD018720,Lepetit Meursault Perchots 23-,0.6678,0.0022,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Arnaud Ente,Bourgogne (1.5L),2020,1,1,CAVA 7 · BALDA 8 · DER,POD015938,Arnaud Ente Bourgogne BL 20-,0.6995,0.0095,0.7333,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Arnaud Ente,Meursault Genevrières 1er Cru,2022,3,1,CAVA 7 · BALDA 4 · CEN,POD015942,Mg Meursault Seve du Clos VV 20-,0.67,0.0406,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Arnaud Ente,Meursault Genevrières 1er Cru,—,2,1,CAVA 7 · BALDA 5 · C,POD015942,Mg Meursault Seve du Clos VV 20-,0.71,0.0282,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Arnaud Ente,Puligny-Montrachet 1er Cru Champ Gain,2019,1,1,CAVA 8 · BALDA 7 · DER,POD016878,Arnaud Ente Puligny 1C Champ Gain 19-,0.7046,0.0146,0.7333,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Domaine Leflaive,Chassagne-Montrachet 1er Cru Clos Saint-Marc,2023,2,1,CAVA 8 · BALDA 7 · CEN,POD015932,Leflaive Chevalier Montrachet 22-,0.6895,0.0169,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,François Carillon,Bourgogne Côte d’Or,—,2,1,CAVA 7 · BALDA 8 · CEN,POD018431,Jadot Puligny 1C Combettes 23-,0.6615,0.004,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,J. Drouhin,Clos des Mouches,—,4,1,CAVA 7 · BALDA 2 · DER,POD013291,Drouhin Beaune Clos de Mouches TO 22-,0.6883,0.0025,0.7826,Francia,Borgoña,Tinto,Pinot Noir,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Les Deux Flèches,Saint-Véran ‘En Messie’,2023,3,1,CAVA 7 · BALDA 7 · CEN,POD019657,Les Deux Fleches St Veran 23-,0.6513,0.0426,0.8,Francia,Borgoña,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Louis Jadot,Puligny-Montrachet 1er Cru Les Combettes,2023,3,1,CAVA 8 · BALDA 7 · CEN,POD017016,Jadot Chevalier Montrachet Demoiselles 22-,0.7111,0.0475,1.0,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Lucien Muzard,Saint-Aubin 1er Cru Sur le Sentier du Clou,2023,3,1,CAVA 7 · BALDA 7 · IZQ,POD019372,Muzard St Aubin 23-,0.705,0.1407,1.0,Francia,Borgoña,Blanco,Chardonnay,Usar mapeamento atual da região no app.,Usar mapeamento atual da região no app.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Marquis de Laguiche,Corton-Charlemagne (Grand Cru),2022,5,2,CAVA 8 · BALDA 4 · DER / CAVA 8 · BALDA 5 · D,POD013049,Meo-Camuzet Corton-Charlemagne G. Cru 21-,0.5292,0.0041,0.4211,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
revisao_manual_obrigatoria,222 borgoña_blancos.pdf,Marquis de Laguiche,Montrachet (Grand Cru),—,2,1,CAVA 8 · BALDA 5 · E,POD016634,D de la Vougeraie Chevalier Montrachet Grand Cru 14-,0.5435,0.1136,0.5714,Francia,Borgoña,Blanco,Chardonnay,Continental.,Calcário e marga.
