Prieure Roch Le Clos Goillote 17-|2017|Borgoña|Pinot Noir|4175€|Nariz: frutas vermelhas maduras, mineral sutil, toque floral. Boca: denso cremoso, taninos finos, acidez viva, final longo elegante. Clos Goillote top maduro. Beba agora-2035. Carne vermelha ou queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rossignol Trapet Latricieres Chamb 20-|2020|Borgoña|Pinot Noir|682€|Nariz: morango ervas. Boca: denso cremoso. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rossignol Trapet Latricieres Chambertin 22-|2022|Borgoña|Pinot Noir|703€|Nariz: frutas vermelhas mineral. Boca: cremoso taninos firmes. Top. Beba 2027-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roty Gevrey Champs Chenys 22-|2022|Borgoña|Pinot Noir|140€|Nariz: morango mineral. Boca: puro tenso. Champs Chenys top. Beba agora-2035. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rougeot Volnay 1C Santenots 22-|2022|Borgoña|Pinot Noir|205€|Nariz: frutas vermelhas ervas. Boca: cremoso elegante. Santenots top. Beba agora-2035. Carne ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roumier Bonnes Mares 19-|2019|Borgoña|Pinot Noir|3550€|Nariz: morango mineral. Boca: denso cremoso. Bonnes Mares top. Beba agora-2045. Luxo puro.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Roumier Chambolle 1C Les Cras 15-|2015|Borgoña|Pinot Noir|2150€|Nariz: frutas vermelhas mineral maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Chambe Clos de Beze 05-|2005|Borgoña|Pinot Noir|8750€|Nariz: frutas vermelhas mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Chambertin 17-|2017|Borgoña|Pinot Noir|7655€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Chambertin top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Chambertin Clos de Beze 19-|2019|Borgoña|Pinot Noir|6750€|Nariz: morango mineral. Boca: denso elegante. Clos de Beze top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Chambertin GC 04-|2004|Borgoña|Pinot Noir|3360€|Nariz: frutas vermelhas maduras. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Chambertin GC 14-|2014|Borgoña|Pinot Noir|3500€|Nariz: cassis mineral. Boca: denso cremoso. Top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Chambertin-Clos de Beze GC 14-|2014|Borgoña|Pinot Noir|2260€|Nariz: morango ervas. Boca: cremoso taninos firmes. Clos de Beze top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Charmes Chambertin 08-|2008|Borgoña|Pinot Noir|1550€|Nariz: frutas vermelhas mineral maduro. Boca: denso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Charmes-Chambertin GC 05-|2005|Borgoña|Pinot Noir|2100€|Nariz: cassis mineral maduro. Boca: cremoso complexo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Clos de la Roche 16-|2016|Borgoña|Pinot Noir|1880€|Nariz: morango mineral. Boca: denso puro. Clos top. Beba agora-2040. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Clos de la Roche GC 10-|2010|Borgoña|Pinot Noir|1840€|Nariz: frutas vermelhas ervas maduro. Boca: complexo eterno. Top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Clos des Ruchottes GC 10-|2010|Borgoña|Pinot Noir|1575€|Nariz: cassis mineral. Boca: denso cremoso. Ruchottes top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Gevrey 1C Clos St Jacques 08-|2008|Borgoña|Pinot Noir|3150€|Nariz: morango mineral maduro. Boca: cremoso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Gevrey Chambertin 08-|2008|Borgoña|Pinot Noir|1335€|Nariz: frutas vermelhas ervas. Boca: denso elegante. Gevrey top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Gevrey Cl St Jacques 20-|2020|Borgoña|Pinot Noir|3348€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Clos St Jacques top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Rousseau Ruchottes Chambertin 08-|2008|Borgoña|Pinot Noir|2292€|Nariz: frutas vermelhas mineral maduro. Boca: denso cremoso. Ruchottes top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Si Tu Sais Pernand Belle Fils 23-|2023|Borgoña|Pinot Noir|208€|Nariz: morango ervas. Boca: fresco mineral. Pernand top. Beba agora-2030. Aperitivo ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Sylvain Cathiard 1C Aux Malconsorts 99-|1999|Borgoña|Pinot Noir|1575€|Nariz: frutas vermelhas mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Terres de Phileandre SLB Serpentieres 1C 22-|2022|Borgoña|Pinot Noir|110€|Nariz: morango mineral. Boca: cremoso puro. Serpentieres top. Beba agora-2035. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Thibault Liger Belair Clos Vougeot 20-|2020|Borgoña|Pinot Noir|445€|Nariz: cassis ervas. Boca: denso elegante. Clos Vougeot top. Beba agora-2040. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Chambertin GC 05-|2005|Borgoña|Pinot Noir|2150€|Nariz: frutas vermelhas mineral maduro. Boca: denso eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Chambertin GC 19-|2019|Borgoña|Pinot Noir|1925€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Chambertin top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Chambertin GC 20-|2020|Borgoña|Pinot Noir|1890€|Nariz: morango ervas. Boca: denso puro. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Chambertin GC 21-|2021|Borgoña|Pinot Noir|1890€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Chambertin GC 22-|2022|Borgoña|Pinot Noir|1912€|Nariz: cassis ervas. Boca: denso cremoso. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Chapelle Chambertin GC 22-|2022|Borgoña|Pinot Noir|1337€|Nariz: morango mineral. Boca: cremoso taninos firmes. Chapelle top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Gevrey Chambertin 1er cru En Ergot 22-|2022|Borgoña|Pinot Noir|375€|Nariz: frutas vermelhas ervas. Boca: puro mineral. En Ergot top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Trapet Latricieres Chambertin GC 22-|2022|Borgoña|Pinot Noir|1256€|Nariz: cassis mineral. Boca: denso elegante. Latricieres top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Villaine Rul Champscloux R-|2021|Borgoña|Pinot Noir|163€|Nariz: morango ervas. Boca: fresco mineral. Rully top. Beba agora-2030. Aperitivo ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vincent Girardin Gevrey Chambertin VV 22-|2022|Borgoña|Pinot Noir|179€|Nariz: frutas vermelhas mineral. Boca: cremoso puro. VV top. Beba agora-2035. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Bonnes Mares 22-|2022|Borgoña|Pinot Noir|1725€|Nariz: morango mineral. Boca: denso cremoso. Bonnes Mares top. Beba 2027-2045. Luxo puro.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Chambolle 1er Cru 22-|2022|Borgoña|Pinot Noir|1033€|Nariz: frutas vermelhas flores. Boca: puro elegante. Chambolle top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Chambolle Amoureuses 22-|2022|Borgoña|Pinot Noir|1690€|Nariz: morango ervas. Boca: cremoso taninos firmes. Amoureuses top. Beba 2027-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Chambolle Musigny 22-|2022|Borgoña|Pinot Noir|682€|Nariz: cassis mineral. Boca: denso puro. Chambolle top. Beba agora-2040. Aves ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Musigny 22-|2022|Borgoña|Pinot Noir|2190€|Nariz: frutas vermelhas mineral. Boca: cremoso elegante eterno. Musigny top. Beba 2028-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vogue Musigny Grand Cru 2021-|2021|Borgoña|Pinot Noir|1610€|Nariz: morango ervas. Boca: denso cremoso. Grand Cru top. Beba agora-2045. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Alter Ego 22-|2022|Burdeos|Cabernet Sauvignon|230€|Nariz: cassis ervas mineral. Boca: cremoso taninos suaves. Alter Ego top. Beba agora-2035. Carne grelhada ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Aromes de Pavie 22-|2022|Burdeos|Merlot|220€|Nariz: frutas vermelhas flores. Boca: cremoso equilibrado. Aromes top. Beba agora-2035. Carne ou aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Carruades de Lafite 22-|2022|Burdeos|Cabernet Sauvignon|725€|Nariz: cassis mineral. Boca: denso elegante. Segundo vinho Lafite top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus 22-|2022|Burdeos|Merlot|1100€|Nariz: cassis violetas. Boca: denso cremoso. Angelus top. Beba 2027-2045. Luxo puro.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Elisabeth Bouchet GC 16-|2016|Burdeos|Merlot|6375€|Nariz: frutas vermelhas mineral maduro. Boca: cremoso longo. GC top. Beba agora-2040. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Elisabeth Bouchet GC 18-|2018|Burdeos|Merlot|2925€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Elisabeth Bouchet GC 19-|2019|Burdeos|Merlot|2450€|Nariz: morango mineral. Boca: cremoso taninos firmes. Top. Beba agora-2045. Queijo curado.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Elisabeth Bouchet GC 20-|2020|Burdeos|Merlot|2665€|Nariz: frutas vermelhas ervas. Boca: denso puro. Top. Beba 2027-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Saint Emilion 18-|2018|Burdeos|Merlot|840€|Nariz: cassis mineral. Boca: cremoso longo. Angelus top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Saint Emilion 19-|2019|Burdeos|Merlot|756€|Nariz: frutas escuras violetas. Boca: denso elegante. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Saint Emilion 20-|2020|Burdeos|Merlot|687€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Top. Beba agora-2040. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Angelus Saint Emilion 21-|2021|Burdeos|Merlot|909€|Nariz: morango mineral. Boca: denso puro. Top. Beba 2027-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ausone 09-|2009|Burdeos|Merlot|2688€|Nariz: cassis mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ausone 10-|2010|Burdeos|Merlot|3000€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ausone Saint Emilion 19-|2019|Burdeos|Merlot|1763€|Nariz: frutas escuras mineral. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ausone Saint Emilion 20-|2020|Burdeos|Merlot|1824€|Nariz: cassis violetas. Boca: cremoso longo. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ausone Saint Emilion 21-|2021|Burdeos|Merlot|1545€|Nariz: morango ervas. Boca: denso puro. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Belair Monange Saint Emilion 20-|2020|Burdeos|Merlot|388€|Nariz: cassis mineral. Boca: cremoso equilibrado. Top. Beba agora-2040. Carne ou aves.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Belair Monange Saint Emilion 21-|2021|Burdeos|Merlot|357€|Nariz: frutas escuras ervas. Boca: denso elegante. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Calon Segur Saint Estephe 16-|2016|Burdeos|Cabernet Sauvignon|446€|Nariz: cassis ervas. Boca: taninos firmes longo. Top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Canon Saint Emilion 20-|2020|Burdeos|Merlot|235€|Nariz: cassis mineral. Boca: denso cremoso. Canon top. Beba agora-2040. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cantenac Brown 22-|2022|Burdeos|Cabernet Sauvignon|150€|Nariz: cassis ervas. Boca: cremoso equilibrado. Bom valor. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Carbonnieux 22-|2022|Burdeos|Cabernet Sauvignon|91€|Nariz: frutas vermelhas ervas. Boca: fresco mineral. Bom valor. Beba agora-2030. Peixe ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc 22-|2022|Burdeos|Merlot|1650€|Nariz: cassis violetas mineral. Boca: denso cremoso eterno. Cheval Blanc top. Beba 2027-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc Saint Emilion 09-|2009|Burdeos|Merlot|2900€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc Saint Emilion 16-|2016|Burdeos|Merlot|2000€|Nariz: cassis ervas. Boca: denso elegante. Top. Beba agora-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc Saint Emilion 19-|2019|Burdeos|Merlot|1650€|Nariz: frutas escuras mineral. Boca: cremoso taninos firmes. Top. Beba agora-2045. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc Saint Emilion 20-|2020|Burdeos|Merlot|1415€|Nariz: cassis violetas. Boca: denso puro. Top. Beba agora-2045. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc Saint Emilion 21-|2021|Burdeos|Merlot|1168€|Nariz: morango ervas. Boca: cremoso elegante. Top. Beba 2027-2045. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc Saint Emilion 82-|1982|Burdeos|Merlot|3405€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Cheval Blanc St Emilion 11-|2011|Burdeos|Merlot|1365€|Nariz: cassis ervas maduro. Boca: denso longo. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Comtesse de Lalande 22-|2022|Burdeos|Cabernet Sauvignon|560€|Nariz: cassis mineral. Boca: cremoso taninos suaves. Comtesse top. Beba agora-2045. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Du Glana Saint Julien 19-|2019|Burdeos|Cabernet Sauvignon|70€|Nariz: cassis ervas. Boca: equilibrado cremoso. Bom valor. Beba agora-2035. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ducru Beaucaillou 22-|2022|Burdeos|Cabernet Sauvignon|605€|Nariz: cassis violetas. Boca: denso elegante. Ducru top. Beba 2027-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ducru Beaucaillou 86-|1986|Burdeos|Cabernet Sauvignon|680€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ducru Beaucaillou Saint Julien 15-|2015|Burdeos|Cabernet Sauvignon|1050€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ducru Beaucaillou Saint Julien 18-|2018|Burdeos|Cabernet Sauvignon|441€|Nariz: frutas escuras mineral. Boca: denso longo. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Ducru Beaucaillou Saint Julien 90-|1990|Burdeos|Cabernet Sauvignon|690€|Nariz: cassis mineral maduro. Boca: complexo eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Figeac Saint Emilion 09-|2009|Burdeos|Merlot|651€|Nariz: cassis mineral maduro. Boca: denso cremoso. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Figeac Saint Emilion 10-|2010|Burdeos|Merlot|605€|Nariz: cassis ervas. Boca: cremoso taninos firmes. Top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Figeac Saint Emilion 19-|2019|Burdeos|Merlot|506€|Nariz: frutas escuras violetas. Boca: denso elegante. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Figeac Saint Emilion 20-|2020|Burdeos|Merlot|625€|Nariz: cassis mineral. Boca: cremoso longo. Top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Figeac Saint Emilion 21-|2021|Burdeos|Merlot|496€|Nariz: morango ervas. Boca: denso puro. Top. Beba 2027-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Figeac Saint Emilion 82-|1982|Burdeos|Merlot|1755€|Nariz: cassis mineral maduro. Boca: complexo eterno. Lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Bailly 22-|2022|Burdeos|Cabernet Sauvignon|390€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Haut Bailly top. Beba 2027-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Bailly II 22-|2022|Burdeos|Cabernet Sauvignon|107€|Nariz: cassis mineral. Boca: fresco equilibrado. Segundo vinho top. Beba agora-2035. Peixe ou salada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Bailly Pessac Leognan 10-|2018|Burdeos|Cabernet Sauvignon|280€|Nariz: cassis ervas. Boca: denso cremoso. Maduro top. Beba agora-2035. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Bailly Pessac Leognan 18-|2018|Burdeos|Cabernet Sauvignon|294€|Nariz: frutas escuras mineral. Boca: cremoso longo. Top. Beba agora-2040. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Brion Pessac Leognan 19-|2019|Burdeos|Cabernet Sauvignon|1428€|Nariz: cassis ervas mineral. Boca: denso cremoso eterno. Ícone Haut Brion. Beba 2027-2050. Luxo máximo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Brion Pessac Leognan 20-|2020|Burdeos|Cabernet Sauvignon|1344€|Nariz: cassis violetas. Boca: taninos firmes longo. Top. Beba 2028-2050. Carne nobre.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Haut Brion Pessac Leognan 21-|2021|Burdeos|Cabernet Sauvignon|2100€|Nariz: cassis mineral. Boca: denso elegante. Top. Beba 2028-2050. Pratos refinados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Hosanna Pomerol 18-|2018|Burdeos|Merlot|326€|Nariz: cassis ervas. Boca: cremoso taninos suaves. Hosanna top. Beba agora-2035. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Hosanna Pomerol 21-|2021|Burdeos|Merlot|320€|Nariz: frutas escuras mineral. Boca: denso puro. Top. Beba agora-2040. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch La Conseillante 22-|2022|Burdeos|Cabernet Sauvignon|695€|Nariz: cassis violetas. Boca: cremoso elegante. Conseillante top. Beba 2027-2050. Carne grelhada.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch La Fleur Petrus 19-|2019|Burdeos|Merlot|630€|Nariz: cassis mineral. Boca: denso cremoso. Fleur Petrus top. Beba agora-2040. Pratos nobres.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch La Fleur Petrus Pomerol 20-|2020|Burdeos|Merlot|580€|Nariz: frutas escuras ervas. Boca: cremoso taninos suaves. Top. Beba agora-2040. Carne ou queijo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch La Gaffeliere 22-|2022|Burdeos|Cabernet Sauvignon|220€|Nariz: cassis ervas. Boca: denso equilibrado. Gaffeliere top. Beba 2027-2045. Carne vermelha.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch La Mission Haut Brion 22-|2022|Burdeos|Cabernet Sauvignon|835€|Nariz: cassis mineral. Boca: cremoso taninos firmes. Mission top. Beba 2027-2050. Luxo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ch Lafite Rothschild 03-|2003|Burdeos|Cabernet Sauvignon|2395€|Nariz: cassis mineral maduro. Boca: denso complexo. Maduro lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
