Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Recaredo Serral del Vell Brut 18-|2018|Cava|Macabeo|93€|Nariz: brioche, maçã madura, ervas secas, mineral. Boca: cremoso fino, acidez viva, bolha integrada, final longo seco. Cava clássico e elegante. Beba agora-2030. Aperitivo ou frutos do mar.|JS: N/A | WA: N/A | TA: N/A | Peñín: 94 (similar Recaredo)
Jacques Lassaigne Colline Inspiree BdB-|NV|Champagne|Pinot Noir|245€|Nariz: limão mineral. Boca: tenso puro. BdB top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacques Lassaigne Vignes Montgueux BdB-|NV|Champagne|Pinot Noir|145€|Nariz: maçã flores. Boca: cremoso elegante. Montgueux clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacques Selosse Les Carelles-|NV|Champagne|Chardonnay|982€|Nariz: maçã mineral oxidativo. Boca: complexo puro. Selosse natural. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacques Selosse Millesime 12-|2012|Champagne|Chardonnay|1375€|Nariz: maçã madura mineral. Boca: denso eterno. Vintage Selosse. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacques Selosse Rose-|NV|Champagne|Chardonnay|1302€|Nariz: morango maçã oxidativo. Boca: complexo puro. Rosé Selosse. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacques Selosse V.O.-|NV|Champagne|Chardonnay|734€|Nariz: maçã mel oxidativo. Boca: denso longo. V.O. top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacquesson 747 Extra-Brut-|NV|Champagne|Pinot Noir|142€|Nariz: maçã mineral. Boca: seco tenso. Extra Brut clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jaques Selosse Substance BdB-|NV|Champagne|Chardonnay|1025€|Nariz: maçã mineral oxidativo. Boca: complexo cremoso. Substance top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Krug Grande Cuvée 172 edition|NV|Champagne|Pinot Noir|465€|Nariz: brioche maçã madura, nozes. Boca: cremoso denso, acidez viva. Ícone Krug. Beba agora-2040.|JS: N/A | WA: 97+ (similar GC) | TA: N/A | Peñín: N/A
Krug Rose-|NV|Champagne|Pinot Noir|827€|Nariz: morango brioche. Boca: cremoso elegante. Rosé Krug. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
L Briant Blanc de Meunier 16-|2016|Champagne|Pinot Noir|270€|Nariz: frutas vermelhas mineral. Boca: tenso puro. BdM top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
L Briant Les Basses Prieres 18-|2018|Champagne|Pinot Noir|300€|Nariz: maçã mineral. Boca: cremoso elegante. Parcela top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
L Briant Les Monts Ferres 18-|2018|Champagne|Pinot Noir|362€|Nariz: limão flores. Boca: denso mineral. Parcela refinada. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
L Briant Trois Clochers 18-|2018|Champagne|Pinot Noir|310€|Nariz: maçã mineral. Boca: tenso puro. Parcela top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
L. Roederer Cristal Rose 14-|2014|Champagne|Pinot Noir|1023€|Nariz: morango brioche. Boca: cremoso denso. Cristal Rosé top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Laherte BdN Brut Nature-|NV|Champagne|Pinot Noir|93€|Nariz: maçã limão mineral. Boca: seco tenso. BdN natural. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Laherte Frères Petit Meslier-|NV|Champagne|Pinot Noir|207€|Nariz: maçã ervas. Boca: puro mineral. Variedade rara. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Laherte Frères Ultradition-|NV|Champagne|Pinot Noir|68€|Nariz: maçã flores. Boca: cremoso equilibrado. Ultradition top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Laherte Rose Meunier-|NV|Champagne|Pinot Noir|98€|Nariz: morango maçã. Boca: fresco cremoso. Rosé Meunier. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Larmandier Bernier Chemins Avize 16-|2016|Champagne|Pinot Noir|258€|Nariz: maçã mineral. Boca: tenso puro. Avize top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Larmandier Bernier VV du Levant BdB 13-|2013|Champagne|Pinot Noir|330€|Nariz: limão mineral maduro. Boca: cremoso complexo. VV maduro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Larmandier Bernier VV du Levant BdB 14-|2014|Champagne|Pinot Noir|418€|Nariz: maçã mineral. Boca: denso elegante. VV top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Larmandier-Bernier Longitude BdB-|NV|Champagne|Pinot Noir|127€|Nariz: maçã limão. Boca: puro mineral. Longitude clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lassaigne Clos St Sophie Rose 20-|NV|Champagne|Pinot Noir|370€|Nariz: morango mineral. Boca: seco elegante. Rosé top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Lassaigne Millesime 10-|2010|Champagne|Pinot Noir|398€|Nariz: brioche maçã madura. Boca: complexo longo. Vintage maduro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leclerc Briant Millesime 19-|2019|Champagne|Pinot Noir|171€|Nariz: maçã mineral. Boca: cremoso tenso. Vintage top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Louis Roederer Collection -|NV|Champagne|Pinot Noir|119€|Nariz: maçã brioche. Boca: equilibrado cremoso. Collection clássica. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Louis Roederer Cristal 16-|2016|Champagne|Pinot Noir|572€|Nariz: brioche maçã mineral. Boca: denso elegante. Cristal top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Pol Roger S Winston Churchill 15-|2015|Champagne|Pinot Noir|Magnum (150cl)|979€|Nariz: brioche maçã madura. Boca: denso cremoso longo. Magnum top. Beba agora-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mg Salon BdB 13-|2013|Champagne|Pinot Noir|Magnum (150cl)|3625€|Nariz: limão mineral maduro. Boca: cremoso eterno. Magnum ícone. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pascal Doquet Anthocyanes 1C Rose-|NV|Champagne|Pinot Noir|109€|Nariz: morango mineral. Boca: seco elegante. Rosé top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Philipponnat Clos des Goisses 15 Extra Brut-|2015|Champagne|Pinot Noir|570€|Nariz: brioche maçã mineral. Boca: denso seco. Clos top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Peters Les Chetillons BdB 17 Brut-|2017|Champagne|Pinot Noir|283€|Nariz: maçã mineral. Boca: cremoso tenso. Chetillons top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pierre Peters L'Esprit GC 20-|2020|Champagne|Pinot Noir|161€|Nariz: limão maçã. Boca: puro mineral. Esprit bom. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pol Roger Brut Reserve-|NV|Champagne|Pinot Noir|120€|Nariz: maçã brioche. Boca: cremoso equilibrado. Brut clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pol Roger S Winston Churchill 15-|2015|Champagne|Pinot Noir|497€|Nariz: brioche maçã mineral. Boca: denso elegante. Vintage top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Pol Roger S Winston Churchill 18-|2018|Champagne|Pinot Noir|491€|Nariz: maçã brioche. Boca: cremoso longo. Vintage recente. Beba 2026-2045.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ruinart Blanc de Blancs-|NV|Champagne|Chardonnay|145€|Nariz: limão maçã mineral. Boca: cremoso puro. BdB clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ruinart Rose-|NV|Champagne|Pinot Noir|145€|Nariz: morango limão. Boca: fresco cremoso. Rosé elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Salon Blanc de Blancs 13-|2013|Champagne|Chardonnay|1653€|Nariz: limão maçã mineral. Boca: tenso puro eterno. Ícone Salon. Beba agora-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Suenen C+C BdB-|NV|Champagne|Pinot Noir|173€|Nariz: maçã mineral. Boca: puro tenso. Suenen top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Taittinger Comtes de Champagne 13-|2013|Champagne|Pinot Noir|550€|Nariz: brioche maçã mineral. Boca: cremoso denso. Comtes top. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Taittinger Comtes de Champagne 14-|2014|Champagne|Pinot Noir|500€|Nariz: limão tostado. Boca: elegante longo. Vintage refinado. Beba agora-2040.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Ulysse Collin Les Maillons 20-|2020|Champagne|Pinot Noir|309€|Nariz: maçã mineral. Boca: tenso puro. Collin top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Vouette et Sorbee Fidele BdN Brut Nature-|NV|Champagne|Pinot Noir|181€|Nariz: maçã limão mineral. Boca: seco tenso. Natural top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Mestres Espumoso 2013|Cava|Macabeo|138€|Nariz: brioche maçã madura. Boca: cremoso denso. Espumoso top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Jacques Selosse Espumoso 2011|Champagne|Chardonnay|1250€|Nariz: maçã mineral oxidativo. Boca: complexo eterno. Selosse espumoso. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Leclerc-Briant Espumoso 2018|Champagne|Pinot Noir|330€|Nariz: brioche maçã. Boca: cremoso tenso. Espumoso top. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Arroyuelo Fino en Rama-|NV|Jerez|Palomino|47€|Nariz: maçã amêndoa, salino. Boca: seco fino, mineral. Fino en rama puro. Beba agora. Aperitivo ou jamón.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Emilio Hidalgo Amontillado Fino Tresillo-|NV|Jerez|Palomino|109€|Nariz: amêndoa maçã seca, sal. Boca: seco oxidativo, longo. Amontillado top. Beba agora-2030. Queijos ou jamón.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Emilio Hidalgo Fino La Panesa-|NV|Jerez|Palomino|62€|Nariz: maçã salina, flores. Boca: seco fino, mineral. Fino clássico. Beba agora. Aperitivo.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Emilio Hidalgo Oloroso Villapanes-|NV|Jerez|Palomino|60€|Nariz: nozes, figo seco, madeira. Boca: seco rico, longo. Oloroso top. Beba agora-2030. Queijos curados.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Emilio Hidalgo Palo Cortado M. Rodil-|NV|Jerez|Palomino|79€|Nariz: nozes caramelo seco. Boca: seco complexo, longo. Palo Cortado top. Beba agora-2030. Queijos fortes.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
La Riva Manzanilla Miraflores-|NV|Jerez|Palomino|37€|Nariz: maçã sal marinho, ervas. Boca: seco fino salino. Manzanilla pura. Beba agora. Mariscos.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Maruja Manzanilla en rama-|NV|Jerez|Palomino|50€|Nariz: maçã salina, flores. Boca: seco mineral puro. En rama top. Beba agora. Ostras.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Santa Petronila Amontillado-|NV|Jerez|Palomino|63€|Nariz: amêndoa maçã seca. Boca: seco oxidativo. Amontillado bom. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Santa Petronila Flor Macharnudo-|NV|Jerez|Palomino|32€|Nariz: maçã mineral. Boca: seco fino. Macharnudo puro. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tradicion Amontillado-|NV|Jerez|Palomino|109€|Nariz: nozes maçã seca. Boca: seco longo. Amontillado clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tradicion Fino-|NV|Jerez|Palomino|60€|Nariz: maçã salina. Boca: seco fino. Fino top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tradicion Oloroso-|NV|Jerez|Palomino|104€|Nariz: nozes figo seco. Boca: rico seco. Oloroso clássico. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Tradicion Palo Cortado 30-|NV|Jerez|Palomino|169€|Nariz: nozes caramelo seco. Boca: complexo longo. Palo Cortado top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Viña Corrales Fino Saca-|NV|Jerez|Palomino|70€|Nariz: maçã salina. Boca: seco puro. Fino top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Wellington Palo Cortado VOS-|NV|Manzanilla|Palomino|109€|Nariz: nozes maçã seca. Boca: seco oxidativo longo. VOS top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Fondillon Brotons 64-|1964|Comunidad Valenciana|Monastrell|120€|Nariz: figo seco, nozes, madeira antiga. Boca: doce seco complexo eterno. Fondillón lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Recondita Armonia 1987-|1987|Comunidad Valenciana|Monastrell|145€|Nariz: figo mel madeira. Boca: doce rico eterno. Maduro top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Graham´s Tawny 10 anos-|NV|Douro|Touriga Nacional|68€|Nariz: caramelo nozes frutas secas. Boca: doce equilibrado, final longo. Tawny 10 clássico. Beba agora. Queijo ou chocolate.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Graham´s Tawny 20 anos-|NV|Douro|Touriga Nacional|139€|Nariz: caramelo figo mel. Boca: rico cremoso. Tawny 20 top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Graham´s Tawny 40 anos-|NV|Douro|Touriga Nacional|299€|Nariz: caramelo nozes madeira. Boca: doce complexo eterno. Tawny 40 lendário. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Graham's LBV 17-|NV|Douro|Touriga Nacional|37€|Nariz: frutas escuras especiarias. Boca: doce encorpado. LBV bom valor. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niepoort 20-|NV|Douro|Touriga Nacional|150€|Nariz: caramelo figo mel. Boca: rico cremoso. Tawny 20 top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niepoort Vintage 22-|2022|Douro|Touriga Nacional|155€|Nariz: frutas escuras chocolate. Boca: taninos firmes, doce longo. Vintage top. Beba 2030-2060.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Niepport LBV-|2020|Douro|Touriga Nacional|44€|Nariz: frutas especiarias. Boca: encorpado doce. LBV bom. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Noval Colheita 1997 Old Tawny Port-|1997|Douro|Touriga Nacional|245€|Nariz: caramelo figo madeira. Boca: doce complexo. Colheita madura. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Noval Tawny 10-|NV|Douro|Touriga Nacional|57€|Nariz: caramelo nozes. Boca: equilibrado doce. Tawny 10 clássico. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Noval Vintage Port 2008-|2008|Douro|Touriga Nacional|179€|Nariz: frutas escuras chocolate. Boca: taninos firmes doce. Vintage bom. Beba 2028-2050.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Quinta da Corte Tawny 20 anos-|NV|Douro|Touriga Nacional|92€|Nariz: caramelo figo. Boca: rico cremoso. Tawny 20 top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Quinta das Carvalhas 07-|2007|Douro|Touriga Nacional|94€|Nariz: frutas secas especiarias. Boca: doce encorpado. Vintage bom. Beba agora-2035.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Quinta do Infantado Tawny 10 Years Old-|NV|Douro|Touriga Nacional|62€|Nariz: caramelo nozes. Boca: equilibrado doce. Tawny bom. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Van Zellers 30-|NV|Douro|Touriga Nacional|151€|Nariz: caramelo figo madeira. Boca: doce complexo eterno. Tawny 30 top. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Van Zellers Porto Tawny 10-|NV|Douro|Touriga Nacional|57€|Nariz: caramelo nozes. Boca: doce equilibrado. Tawny 10 clássico. Beba agora.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Abadía Retuerta Clarete 21-|2021|Ribera del Duero|Tempranillo|79€|Nariz: morango cereja, ervas. Boca: fresco leve, acidez viva. Clarete elegante. Beba agora-2028. Saladas ou peixe.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dominio del Aguila Peñas Aladas clarete 20-|2020|Ribera del Duero|Tempranillo|386€|Nariz: frutas vermelhas flores. Boca: puro mineral. Clarete top. Beba agora-2030.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Le Rose Antidoto 23-|2023|Ribera del Duero|Tempranillo|114€|Nariz: morango ervas. Boca: fresco leve. Rosé top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Palito V Clarete 24-|2024|Ribera del Duero|Tempranillo|30€|Nariz: cereja morango. Boca: vibrante fresco. Clarete jovem. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Picaro del Aguila Clarete RO 23-|2023|Ribera del Duero|Tempranillo|76€|Nariz: frutas vermelhas flores. Boca: puro fresco. Clarete elegante. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Territorio Luthier Clarete 2020-|2020|Ribera del Duero|Tempranillo|62€|Nariz: morango ervas. Boca: fresco mineral. Clarete top. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
Dido La solucio rosa 23-|2023|Montsant|Garnacha|44€|Nariz: morango flores. Boca: fresco leve. Rosé puro. Beba agora-2028.|JS: N/A | WA: N/A | TA: N/A | Peñín: N/A
